number,site,long,lat,species,sex,date,time,wt,svl,tail,bt,at,month,note_book,time_orig,season,diel,adult,dug,total_v
15037,KLK,20.44,-25.45,Agama aculeata,F,1969-11-24,NA,NA,NA,NA,NA,NA,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,NA,spring,diurnal,yes,no,0.35
15038,KLK,20.44,-25.45,Agama aculeata,F,1969-11-24,NA,NA,NA,NA,NA,NA,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,NA,spring,diurnal,yes,no,0.5
15039,KLK,20.44,-25.45,Agama aculeata,F,1969-11-24,NA,NA,NA,NA,NA,NA,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,NA,spring,diurnal,yes,no,0.5
15040,KLK,20.44,-25.45,Trachylepis sparsa,M,1969-11-24,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,yes,no,0.05
15041,KLK,20.44,-25.45,Trachylepis sparsa,F,1969-11-24,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,yes,no,0.3
15042,KLK,20.44,-25.45,Trachylepis sparsa,F,1969-11-24,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,yes,no,0.025
15043,KLK,20.44,-25.45,Trachylepis spilogaster,F,1969-11-24,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,no,no,0.07
15044,KLK,20.44,-25.45,Trachylepis spilogaster,F,1969-11-24,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,yes,no,0.04
15045,KLK,20.44,-25.45,Trachylepis spilogaster,F,1969-11-24,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,yes,no,0.075
15046,KLK,20.44,-25.45,Agama aculeata,F,1969-11-27,NA,NA,NA,NA,NA,NA,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,NA,spring,diurnal,no,no,0.4
15047,KLK,20.44,-25.45,Trachylepis sparsa,M,1969-11-27,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,yes,no,0.135
15048,KLK,20.44,-25.45,Trachylepis sparsa,F,1969-11-27,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,no,no,0.01
15049,KLK,20.44,-25.45,Trachylepis sparsa,F,1969-11-27,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,yes,no,0.1
15050,KLK,20.44,-25.45,Trachylepis sparsa,F,1969-11-27,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,no,no,0.01
