SVL,HL,HW,HD,JL,FLL,HLL,FFL,HFL,Tail,Site,Number,Genus_species
43,8,5,4,10.2,13,22,5,12,51,L,3490,Ctenotus_calurus
49,8.7,5.4,3.7,11.4,13,24,5,13,83,L,3493,Ctenotus_calurus
44,8.2,5,3.7,9.8,12,22,6,11,82,L,3523,Ctenotus_calurus
42,8.2,4.6,3.3,9,10,19,5,11,35,L,3524,Ctenotus_calurus
43,8.5,5.5,3.9,10,12,21,5,11,80,L,3525,Ctenotus_calurus
44,8.1,5,3.5,9.9,11,20,5,11,87,L,3526,Ctenotus_calurus
32,6.9,4.3,3.4,7.8,11,19,4,10,61,L,3527,Ctenotus_calurus
44,8.6,4.9,3.7,9.8,11,20,5,11,76,L,3528,Ctenotus_calurus
43,8.2,3.4,3.7,9.7,11,23,6,12,47,L,3529,Ctenotus_calurus
41,8.5,4.9,3.9,9.9,12,22,5,12,63,L,3530,Ctenotus_calurus
33,7.3,4.6,3,8.7,11,17,5,10,68,L,3531,Ctenotus_calurus
40,8.7,5.2,4.4,10.8,11,20,6,11,47,L,3535,Ctenotus_calurus
38,8.6,4,4.3,9.6,11,20,5,11,90,L,3572,Ctenotus_calurus
46,8.7,5.3,4.4,11.4,11,22,6,13,64,L,3576,Ctenotus_calurus
45,8.9,5.1,4.4,11.1,11,21,6,11,94,L,3577,Ctenotus_calurus
40,7.8,4.9,4,10.8,12,19,5,9,83,L,3578,Ctenotus_calurus
42,8.6,4.7,4.4,9.9,12,22,5,11,81,L,3579,Ctenotus_calurus
46,8.9,5.2,4.5,11,12,21,5,12,61,L,3584,Ctenotus_calurus
36,7.3,4.5,3.5,9.4,11,17,5,10,35,R,941,Ctenotus_calurus
38,7.3,4.6,3.8,8.3,11,16,5,10,11,R,1115,Ctenotus_calurus
42,9,5.3,4.5,11.4,9,23,4,13,88,R,1146,Ctenotus_calurus
35,7.3,4.4,3.6,9.2,11,19,5,10,84,R,1534,Ctenotus_calurus
37,8.2,5.6,2.5,10.5,12,21,5,11,30,R,1801,Ctenotus_calurus
38,8.2,4.5,3.7,9.6,11,20,5,11,75,R,1885,Ctenotus_calurus
45,8.6,5.1,4.2,9.6,10,20,5,12,69,R,2495,Ctenotus_calurus
43,8.2,5,3.9,10.7,11,21,5,11,89,R,2759,Ctenotus_calurus
43,8.7,4.9,4.2,11.5,13,22,5,12,81,R,2800,Ctenotus_calurus
40,8.2,4.7,3,10,10,18,5,10,76,R,3195,Ctenotus_calurus
30,6.3,3.6,2.5,7.4,8,11,3,6,3,R,3203,Ctenotus_calurus
35,7,4.5,3,7.9,9,19,5,10,69,R,3236,Ctenotus_calurus
44,8,4.5,3.7,9.6,10,18,5,10,74,R,3247,Ctenotus_calurus
33,7.1,4.6,3,9.3,11,18,5,11,78,R,3629,Ctenotus_calurus
42,8.3,5.4,4.2,9.6,12,21,6,11,84,R,3642,Ctenotus_calurus
33,7.3,4.1,3.5,7.7,11,16,5,10,61,R,3643,Ctenotus_calurus
42,8,5,3.5,9.5,11,20,6,11,76,R,3757,Ctenotus_calurus
45,8,4.6,4.3,11.9,12,20,6,11,64,R,3758,Ctenotus_calurus
43,7.3,5.7,4,9.9,10,20,5,11,93,R,4042,Ctenotus_calurus
44,8.3,5.2,4.1,10,12,22,5,10,100,R,4091,Ctenotus_calurus
39,8.4,4.9,4,9.8,12,23,6,12,73,R,4093,Ctenotus_calurus
35,8.3,3.8,2.9,8.6,12,18,5,9,0, ,11551,Ctenotus_colletti
37,8.2,4.1,3,8.8,13,19,6,10,0,E,12294,Ctenotus_colletti
44,8.9,4.3,3.1,9.9,13,20,6,10,0,I,13097,Ctenotus_colletti
39,8.3,4.2,3.2,9.1,12,20,6,10,0,E,13135,Ctenotus_colletti
40,8.5,4.6,3,10,12,18,5,9,88,E,3806,Ctenotus_colletti
25,5.8,3.1,2.2,7.1,8,12,4,7,47,R,2244,Ctenotus_colletti
42,7.8,4.2,3.4,9.5,11,18,5,10,54,R,2449,Ctenotus_colletti
0,0,4.6,3.4,0,12,21,6,11,90,R,3689,Ctenotus_colletti
46,8.4,4.6,3.4,10.1,12,19,6,9,56,R,3746,Ctenotus_colletti
61,13,6.6,5.7,14.1,20,24,8,16,0, ,9905,Ctenotus_dux
34,8.4,4.4,3.2,9.1,13,20,6,10,0,E,11212,Ctenotus_dux
34,8.6,4.5,0,0,11,20,5,11,0,E,11217,Ctenotus_dux
35,8.7,4.3,3.2,9.6,12,21,5,11,0,E,11218,Ctenotus_dux
32,7.8,4.2,3.3,0,11,16,6,10,0,E,11219,Ctenotus_dux
62,0,0,0,0,16,29,0,0,0,E,11269,Ctenotus_dux
45,10,5.9,4.9,11.4,16,25,7,13,0,E,11272,Ctenotus_dux
34,8,4.6,3.5,9.6,13,18,6,10,0,E,11278,Ctenotus_dux
42,9.3,5.2,4,10.5,15,22,7,12,0,E,11309,Ctenotus_dux
37,8.7,4.8,3.4,10,14,20,7,11,0,E,11311,Ctenotus_dux
34,9.8,4.6,3.3,9.7,14,21,6,12,0,E,11318,Ctenotus_dux
36,8.7,4.4,3.6,9.1,13,20,6,11,0,E,11321,Ctenotus_dux
35,8.8,4.4,3,9.2,13,19,6,11,0,E,11324,Ctenotus_dux
35,8.8,4.3,3.3,9.4,13,20,6,10,0,E,11359,Ctenotus_dux
44,10.4,5.8,4.5,11.4,16,27,7,13,0,E,11363,Ctenotus_dux
32,8.3,4.1,3,9.2,12,18,6,10,0,E,11397,Ctenotus_dux
35,8.9,5,3.8,9.6,13,19,6,11,0,E,11398,Ctenotus_dux
36,8.8,5,3.5,10,14,20,6,11,0,E,11400,Ctenotus_dux
35,8.5,4.4,3.1,10,12,21,5,11,0,E,11416,Ctenotus_dux
44,10.3,5.5,4.3,10.7,17,26,7,13,0,E,11418,Ctenotus_dux
36,8.8,4.8,3.5,9.4,13,20,6,11,0,E,11419,Ctenotus_dux
34,8.5,4.3,3.3,9.3,13,18,6,10,0,E,11421,Ctenotus_dux
32,8,4.2,3,9.3,13,19,6,10,0,E,11444,Ctenotus_dux
40,9.3,5,4.5,10.5,15,23,7,12,0,E,11451,Ctenotus_dux
46,10.6,6.2,4.9,12.1,16,26,8,14,0,E,11453,Ctenotus_dux
50,11,6.2,5.1,12.4,18,29,8,15,0,E,11454,Ctenotus_dux
38,8.3,4.5,3.3,9.8,13,22,7,12,0,E,11456,Ctenotus_dux
33,8.5,4.6,3.3,9.3,13,20,6,10,0,E,11458,Ctenotus_dux
47,10.4,5.6,4.5,11.5,17,28,7,14,0,E,11469,Ctenotus_dux
34,8.5,4,3.5,10,14,21,6,11,0,E,11474,Ctenotus_dux
43,9.5,5.6,4.2,10.9,16,24,7,13,0,E,11477,Ctenotus_dux
45,10.2,5.7,4.1,11.6,16,25,7,14,0,E,11488,Ctenotus_dux
34,8.7,4.2,3.1,9.3,14,19,6,11,0, ,11501,Ctenotus_dux
39,8.5,5,3.9,9.7,14,22,6,12,0, ,11508,Ctenotus_dux
41,9.5,0,0,0,15,24,7,12,0, ,11545,Ctenotus_dux
35,8.5,4.8,3.3,9,13,19,6,10,0, ,11573,Ctenotus_dux
36,8.4,5,3.9,10.1,14,20,6,11,0,D,11772,Ctenotus_dux
36,8.8,4.4,3.2,9.1,14,0,6,0,0,D,11830,Ctenotus_dux
39,8.9,5,3.4,10.3,13,21,6,12,0,D,11842,Ctenotus_dux
45,9.9,5.3,3.8,11.1,15,22,7,12,0,D,11845,Ctenotus_dux
45,10,5.3,4.3,11.7,16,24,7,13,0,D,11895,Ctenotus_dux
37,9.3,5.2,4,10.3,14,21,6,11,0,D,11899,Ctenotus_dux
40,8.8,0,0,10.2,15,21,7,11,0,D,11900,Ctenotus_dux
38,8.2,4.3,3.5,9.2,12,19,6,9,0,D,11986,Ctenotus_dux
40,9.2,5.1,4.1,10.6,15,24,7,13,0,E,12085,Ctenotus_dux
36,9,4.6,3.9,9.5,14,21,6,11,0,E,12087,Ctenotus_dux
41,9,5.5,3.9,10.5,14,21,6,11,0,E,12088,Ctenotus_dux
38,9.3,5.3,3.7,10.3,14,22,7,12,0,E,12244,Ctenotus_dux
38,8.8,5.2,3.6,10.5,14,23,7,12,0,E,12285,Ctenotus_dux
63,12.5,7,5.6,14.1,20,32,8,16,0,E,13143,Ctenotus_dux
39,9.5,6.4,5.1,12,13,22,6,11,88,D,805,Ctenotus_dux
46,9.7,5.9,4.8,11.8,16,25,7,12,0,D,813,Ctenotus_dux
39,9,5.1,4.3,10.9,8,21,5,6,84,D,819,Ctenotus_dux
44,9.5,6,4.8,10.8,14,23,6,15,97,R,114,Ctenotus_dux
35,8.7,5.6,5,11.6,12,20,6,11,76,R,793,Ctenotus_dux
38,8.6,5.4,4.7,10.3,12,20,5,10,70,R,832,Ctenotus_dux
42,9.1,6,4.9,10.5,11,22,5,12,38,R,835,Ctenotus_dux
39,8,5.4,4,11.7,8,20,5,9,73,R,870,Ctenotus_dux
42,9,5.5,4.8,11.1,14,22,5,13,37,R,892,Ctenotus_dux
40,9.5,5.8,4.9,10,13,23,6,11,15,R,901,Ctenotus_dux
44,8.9,5.3,5.5,10.5,11,23,5,11,51,R,949,Ctenotus_dux
45,0,6.1,5,0,11,19,5,10,32,R,1090,Ctenotus_dux
45,9.5,6.4,5.4,10.9,15,25,6,13,39,R,1111,Ctenotus_dux
42,9.5,5.5,4.6,11.9,14,21,11,12,12,R,1112,Ctenotus_dux
38,8.3,5.6,4.9,10.6,11,20,5,10,80,R,1142,Ctenotus_dux
64,7.3,8.2,7.7,14.1,18,0,8,0,100,R,1152,Ctenotus_dux
61,12.4,8,5.9,14.9,17,31,8,16,17,R,1450,Ctenotus_dux
45,9.6,6.2,5,12.3,15,22,5,13,100,R,1531,Ctenotus_dux
63,11.7,8.2,6.5,14.1,17,30,8,15,119,R,1552,Ctenotus_dux
53,9.5,6.5,5.3,12.2,7,28,6,15,105,R,1782,Ctenotus_dux
49,10,7.2,6.1,12.5,16,26,7,14,27,R,1785,Ctenotus_dux
42,8.9,6,4.5,11.3,14,24,5,13,40,R,1804,Ctenotus_dux
56,11.7,7.5,6.7,13.5,19,30,8,16,110,R,1806,Ctenotus_dux
49,10.1,6.2,5,11.4,15,25,6,14,39,R,1807,Ctenotus_dux
60,12,8.5,7,13.5,17,30,8,15,108,R,1907,Ctenotus_dux
45,9.9,7.5,5.5,13.2,16,27,5,14,115,R,1908,Ctenotus_dux
55,11.1,7.3,6.6,15,15,30,6,15,97,R,1927,Ctenotus_dux
48,12,7.5,7,13.9,18,30,9,16,123,R,1950,Ctenotus_dux
54,10.6,6.8,5.5,12.1,16,30,7,15,112,R,1966,Ctenotus_dux
49,10.5,6.4,5.9,12.4,15,25,7,14,104,R,1967,Ctenotus_dux
51,10,6.4,5.9,12.4,15,26,8,15,63,R,2209,Ctenotus_dux
61,6.6,7.1,6.2,13,19,31,8,15,122,R,2214,Ctenotus_dux
57,9.6,6.4,5.5,11.4,15,25,6,14,131,R,2285,Ctenotus_dux
65,12,8.7,7.4,15.3,20,31,8,17,121,R,2466,Ctenotus_dux
51,10.9,6.4,5.3,11.9,16,29,7,15,107,R,2492,Ctenotus_dux
48,9.8,6.2,5,11.7,13,26,7,15,112,R,2512,Ctenotus_dux
52,10.9,7,6.1,12.5,16,28,7,15,117,R,2514,Ctenotus_dux
47,10.2,5.6,5,11.4,13,25,5,14,40,R,2526,Ctenotus_dux
45,10,6,5.5,11.9,15,24,6,12,91,R,2577,Ctenotus_dux
44,10,6.1,4.3,10.8,15,25,5,14,16,R,2579,Ctenotus_dux
47,9.9,6.1,5.4,11.4,16,29,7,15,104,R,2749,Ctenotus_dux
47,9.4,6.5,6.4,11.1,15,25,6,14,89,R,2751,Ctenotus_dux
49,9.6,6.4,4.9,11,16,27,6,15,107,R,2755,Ctenotus_dux
63,12.1,8,7.1,13.7,20,31,10,15,110,R,2756,Ctenotus_dux
57,12.1,7.9,6.7,13.5,15,30,8,16,133,R,2757,Ctenotus_dux
46,9.9,6.1,5,11.7,15,25,6,13,99,R,2761,Ctenotus_dux
64,11.9,7.9,7.7,14.5,17,31,6,15,90,R,2780,Ctenotus_dux
60,12.5,7.5,6.9,14.3,16,32,7,15,111,R,2782,Ctenotus_dux
55,11.3,7.3,6.9,12.4,17,31,7,17,27,R,2783,Ctenotus_dux
64,12.3,8.5,7.3,14.4,19,33,7,18,36,R,2795,Ctenotus_dux
55,11.5,7,6.8,13,17,31,8,16,126,R,2796,Ctenotus_dux
54,11.2,6.9,6.4,12.7,17,30,6,15,95,R,2799,Ctenotus_dux
61,11.1,8.1,6.2,14,19,30,6,15,112,R,2871,Ctenotus_dux
60,7.9,7.8,7.4,14.9,18,31,7,15,104,R,3196,Ctenotus_dux
58,12,8.2,7.1,14.9,17,32,8,15,96,R,3199,Ctenotus_dux
52,10.8,6.4,5.7,12.5,17,26,7,15,63,R,3201,Ctenotus_dux
58,11.4,7.5,7.3,14.1,18,31,8,15,76,R,3217,Ctenotus_dux
44,9.3,6.4,5.5,11.9,15,25,8,14,86,R,3218,Ctenotus_dux
46,10.5,6.5,5,12,15,25,7,15,101,R,3219,Ctenotus_dux
59,11.5,7.2,6.7,14.1,19,27,7,17,121,R,3239,Ctenotus_dux
56,12,8.1,7.3,14.1,14,28,7,15,94,R,3240,Ctenotus_dux
51,10.7,5.5,6.4,13,15,29,7,15,103,R,3241,Ctenotus_dux
58,12.1,8,7.2,14.1,19,29,7,16,92,R,3242,Ctenotus_dux
55,11.4,7.1,7,12.3,17,30,6,15,102,R,3244,Ctenotus_dux
56,11.4,7.3,6.9,15,16,26,7,15,124,R,3615,Ctenotus_dux
52,10.7,6.5,6.7,12.5,17,24,7,15,91,R,3617,Ctenotus_dux
62,12,8.1,7.3,14.3,19,31,6,16,131,R,3675,Ctenotus_dux
48,10.5,6.4,5.6,13.8,16,26,7,15,62,R,3679,Ctenotus_dux
54,11.4,7,5.7,12.8,17,30,6,16,122,R,3680,Ctenotus_dux
48,9.7,6.8,6,13.1,15,24,8,14,119,R,3681,Ctenotus_dux
55,11.4,6.6,6.3,13.2,17,30,7,16,116,R,3682,Ctenotus_dux
40,10.2,6.3,5,11.6,17,26,6,15,40,R,3683,Ctenotus_dux
63,12,7.5,6.6,14.1,17,30,7,15,92,R,3740,Ctenotus_dux
52,10.1,6.5,6,11.7,15,29,7,15,13,R,3741,Ctenotus_dux
52,11,6.3,5.5,11.9,16,29,8,16,33,R,3749,Ctenotus_dux
50,10.2,6,4.8,11.5,15,27,7,15,14,R,3750,Ctenotus_dux
52,10.5,6.8,6.1,12.1,18,30,8,15,112,R,3751,Ctenotus_dux
49,10.1,6.5,5.5,12.7,18,30,6,17,35,R,3752,Ctenotus_dux
59,12.3,7.8,6.4,14.5,20,29,8,17,129,R,3753,Ctenotus_dux
53,10.6,6.9,6.5,13.7,15,28,8,15,115,R,3762,Ctenotus_dux
52,10,6.4,6.3,11.5,17,27,6,14,116,R,3764,Ctenotus_dux
61,12,7.2,6.4,13.1,18,30,8,16,82,R,3765,Ctenotus_dux
58,12.1,8.2,7.3,13.4,18,30,6,15,115,R,3830,Ctenotus_dux
46,9.5,5.1,5,11.2,16,25,7,13,75,R,3832,Ctenotus_dux
64,11.9,7.9,6.1,13.3,17,29,9,15,40,R,3835,Ctenotus_dux
51,11,7.3,5.3,14.5,15,29,6,15,110,R,3840,Ctenotus_dux
54,11,6.4,6,15.6,14,26,7,15,124,R,3861,Ctenotus_dux
61,12.5,7.6,6.6,14,18,29,7,15,104,R,3863,Ctenotus_dux
51,10.6,6.9,6.2,12.5,14,30,5,16,114,R,3864,Ctenotus_dux
47,10.3,6.4,5.1,12.4,15,26,7,15,106,R,3864.1,Ctenotus_dux
61,10,13.9,7.2,7,18,30,8,16,61,R,3865,Ctenotus_dux
52,10.8,6.7,5.8,13.2,16,28,7,15,102,R,3866,Ctenotus_dux
52,10.7,6.9,5.7,13.4,16,28,6,15,110,R,3867,Ctenotus_dux
59,12,7.8,7.5,14.1,18,25,7,15,95,R,3868,Ctenotus_dux
54,11.5,6.1,5.8,12.7,15,26,7,13,114,R,3869,Ctenotus_dux
52,10.5,11.9,11.4,12.9,17,28,8,15,117,R,3873,Ctenotus_dux
53,10.9,6.8,6,13.1,15,29,7,14,111,R,3878,Ctenotus_dux
51,11,6.7,6.3,13.6,17,29,7,15,100,R,3884,Ctenotus_dux
55,10.5,6.8,5.5,12,15,26,7,15,50,R,3886,Ctenotus_dux
51,10.6,6.1,6.1,12.3,17,25,7,14,30,R,3912,Ctenotus_dux
47,11.8,6.4,5.6,11.4,15,26,8,15,101,R,3913,Ctenotus_dux
50,10.9,6.9,6,12.2,15,28,6,16,29,R,3914,Ctenotus_dux
54,10.9,6.9,6,12.8,17,30,8,16,31,R,3926,Ctenotus_dux
59,11.9,6.9,6.2,13.7,18,31,7,15,106,R,3927,Ctenotus_dux
60,11.7,7.8,6.7,13.5,18,33,7,17,132,R,3948,Ctenotus_dux
59,11.5,7.6,5.8,13.5,15,30,6,15,118,R,3949,Ctenotus_dux
57,11.4,6.8,5.9,14.3,15,29,8,15,57,R,3950,Ctenotus_dux
61,12.1,8,11.2,14.7,16,29,6,16,39,R,3962,Ctenotus_dux
51,11,7.5,6,13.7,16,29,6,14,116,R,4018,Ctenotus_dux
49,10.5,6,5.1,11.6,16,27,5,15,74,R,4023,Ctenotus_dux
60,11,7.3,6.2,13.7,17,28,7,13,116,R,4026,Ctenotus_dux
54,11.5,7.7,5.8,13.2,15,25,6,13,121,R,4027,Ctenotus_dux
62,12.5,7.5,6.9,14,17,26,9,15,128,R,4029,Ctenotus_dux
59,12.5,8.5,6.9,14.4,19,31,7,15,135,R,4030,Ctenotus_dux
63,12.5,8,6.5,13.9,17,32,8,16,109,R,4031,Ctenotus_dux
62,12.6,8.5,7.6,14.3,16,30,8,16,131,R,4032,Ctenotus_dux
60,12.3,8.1,6.6,14.7,17,33,6,15,104,R,4033,Ctenotus_dux
56,11.3,7,6.1,14.5,15,26,8,16,71,R,4035,Ctenotus_dux
63,12.5,4.8,6.7,14,18,26,8,15,95,R,4036,Ctenotus_dux
58,11.5,7.5,6.4,12.3,16,28,7,14,106,R,4038,Ctenotus_dux
57,12.1,7.6,6.3,14.6,19,29,9,15,90,Z,791,Ctenotus_dux
90,16.4,10.5,9.4,19,25,36,11,16,0,G,10334,Ctenotus_grandis
56,11.7,7.1,5.6,13,17,27,7,13,0, ,10430,Ctenotus_grandis
96,17.2,11.2,10,19.6,26,37,12,17,0,A,10509,Ctenotus_grandis
102,17.3,11.2,10.1,19.1,24,38,11,17,0,A,10557,Ctenotus_grandis
109,17,12,9.6,19.8,27,40,11,19,0,A,10581,Ctenotus_grandis
102,17.5,10.1,0,18.8,26,37,11,17,0,L,10639,Ctenotus_grandis
60,11.9,7.5,6,13.6,19,25,8,13,0,L,10650,Ctenotus_grandis
66,13,8.2,6.5,14.7,19,29,8,12,0,L,10651,Ctenotus_grandis
96,16.2,10.1,8.6,18.6,26,37,10,16,0,L,10653,Ctenotus_grandis
93,16.9,10.9,9,19,26,37,10,17,0,L,10659,Ctenotus_grandis
100,16.9,10.8,9.6,19.1,25,39,10,17,0,L,10660,Ctenotus_grandis
72,13,8.7,6.6,14.7,19,30,9,14,0,L,10665,Ctenotus_grandis
76,13.3,7.7,6,14.3,19,29,9,13,0,L,10669,Ctenotus_grandis
87,16.6,10.9,9.6,18.7,26,37,11,18,0,L,10672,Ctenotus_grandis
71,13.2,7.9,6.5,14.1,20,30,9,14,0,L,10675,Ctenotus_grandis
104,17,10.4,9,19.7,27,36,10,17,0,L,10679,Ctenotus_grandis
69,12.8,7.8,6.6,14.5,20,30,9,14,0,L,10682,Ctenotus_grandis
55,11,6.8,5.4,12.5,16,24,7,13,0,L,10691,Ctenotus_grandis
97,16.9,11.4,10.3,19.2,26,39,11,18,0,L,10692,Ctenotus_grandis
53,11,6.6,5.3,12.2,17,22,7,12,0,L,10700,Ctenotus_grandis
71,13.3,8.1,7.3,15,20,28,9,14,0,L,10702,Ctenotus_grandis
60,12.3,8.1,0,13.7,19,25,8,14,0,L,10704,Ctenotus_grandis
91,16,10,9.4,18.1,25,34,11,17,0,L,10709,Ctenotus_grandis
66,13.3,8.6,7.2,15,17,29,9,14,0,L,10711,Ctenotus_grandis
88,15.7,9.9,8,17.7,26,36,10,16,0,L,10716,Ctenotus_grandis
58,11.5,7.1,6.3,12.7,18,25,9,13,0,L,10722,Ctenotus_grandis
55,11.4,7,5.6,13.2,18,24,8,13,0,L,10723,Ctenotus_grandis
57,11.8,7,6.1,12.7,17,25,8,14,0,L,10727,Ctenotus_grandis
50,10.4,6.4,5,11.9,15,22,7,11,0,L,10728,Ctenotus_grandis
60,11.6,7.3,5.6,13.7,18,25,8,12,0,L,10737,Ctenotus_grandis
90,15.6,10.4,8.8,18.1,25,35,10,17,0,L,10742,Ctenotus_grandis
86,15.5,9.7,8.5,17.7,24,34,10,15,0,L,10743,Ctenotus_grandis
101,16.7,10.6,9.1,19,26,38,11,17,0,L,10747,Ctenotus_grandis
66,13.7,9,7.1,15,18,28,8,13,0,L,10751,Ctenotus_grandis
69,12.4,7.5,6.3,14.4,19,27,9,14,0,L,10753,Ctenotus_grandis
96,16.6,10.7,9.6,18.9,25,36,10,17,0,L,10764,Ctenotus_grandis
45,10.4,6.5,5.2,12.4,15,22,7,11,0,L,10787,Ctenotus_grandis
64,12.5,8.1,7,14.1,20,27,8,14,0,L,10896,Ctenotus_grandis
105,16.6,10.8,9.6,19.1,26,39,11,17,0,L,10902,Ctenotus_grandis
92,16.9,11.1,9.5,19,25,38,10,16,0,L,10903,Ctenotus_grandis
94,0,0,0,0,21,33,0,0,0,L,10904,Ctenotus_grandis
95,17,10.7,9.6,19.5,27,37,10,17,0,L,10905,Ctenotus_grandis
83,14.4,9.2,8.3,17,23,35,10,17,0,L,10908,Ctenotus_grandis
92,16.4,10.6,9.4,18.9,25,38,10,17,0,L,10986,Ctenotus_grandis
64,12.5,7.5,6.2,13.5,19,26,8,13,0,L,11001,Ctenotus_grandis
84,17.5,10.8,0,18.3,24,37,10,17,0,L,11008,Ctenotus_grandis
89,14.7,8.6,7.3,16.9,24,34,9,16,0,L,11041,Ctenotus_grandis
80,15,9.3,8,17.3,23,35,10,17,0,L,11047,Ctenotus_grandis
101,16.5,10.7,9.9,19,25,37,10,17,0,L,11048,Ctenotus_grandis
50,10.9,6,4.8,11.9,16,23,7,12,0,N,11075,Ctenotus_grandis
48,10,6.1,5.2,11.9,16,23,7,11,0,N,11086,Ctenotus_grandis
43,9.7,5.7,4.5,11.2,14,21,6,10,0,N,11092,Ctenotus_grandis
49,10.5,6.1,5,11.4,15,23,7,11,0,N,11094,Ctenotus_grandis
65,12.5,7.4,6.7,14.4,19,30,9,14,0,G,11126,Ctenotus_grandis
38,9.2,5.1,0,10.5,15,20,6,10,0,S,11190,Ctenotus_grandis
44,10,5.9,4.5,11.7,14,23,6,12,0, ,11659,Ctenotus_grandis
46,10.3,6,4.6,11.6,16,21,7,11,0, ,11672,Ctenotus_grandis
46,9.7,5.9,4.4,11.4,16,24,7,12,0, ,11673,Ctenotus_grandis
51,10.6,6.7,4.8,12.1,17,23,8,12,0,N,12423,Ctenotus_grandis
96,17.8,11.9,9.6,20.2,27,40,17,19,0,I,12437,Ctenotus_grandis
42,9.5,5.4,4.9,10.8,14,21,6,10,0,S,12581,Ctenotus_grandis
59,12.2,6.7,5.8,13.2,19,30,7,14,0,M,13314,Ctenotus_grandis
96,16.4,10.8,9.7,19.6,21,36,8,16,169,L,2119,Ctenotus_grandis
96,15.6,11.3,11,19.8,24,38,10,16,137,L,2353,Ctenotus_grandis
86,16.3,11.3,11.4,19.7,26,36,9,14,170,L,2368,Ctenotus_grandis
101,15.8,12.3,11,18.7,24,40,9,17,179,L,2396,Ctenotus_grandis
87,15.5,11.3,9.5,18,22,36,10,16,156,L,2419,Ctenotus_grandis
95,15.6,10.8,9.5,18.5,24,36,8,16,134,L,2436,Ctenotus_grandis
91,11.7,10.5,10,18.8,23,35,10,17,149,L,2633,Ctenotus_grandis
90,16.5,12.5,12.3,19.6,22,36,9,17,117,L,2856,Ctenotus_grandis
37,9.1,6.5,5.1,10.1,9,15,4,7,19,L,2904,Ctenotus_grandis
44,10,6.1,4.6,10.9,13,18,6,10,68,L,2909,Ctenotus_grandis
83,10.8,11.5,10.6,18.9,23,34,8,15,104,L,2934,Ctenotus_grandis
51,10,6.3,6.4,11.5,15,23,6,13,84,L,2937,Ctenotus_grandis
92,15.7,11.7,9.6,19.2,23,34,8,15,114,L,2940,Ctenotus_grandis
81,14,9.6,9.5,16.5,21,31,9,14,138,L,2955,Ctenotus_grandis
79,14.5,10.3,9,17.1,20,33,9,15,131,L,2958,Ctenotus_grandis
50,10.5,6.6,5.7,11.7,16,24,5,12,83,L,2961,Ctenotus_grandis
86,14.7,9.4,9.9,18,22,35,8,14,67,L,2962,Ctenotus_grandis
89,10.9,11.2,10.8,20,23,34,9,15,139,L,2975,Ctenotus_grandis
48,10.1,6.4,5.6,11.9,15,22,6,11,82,L,3022,Ctenotus_grandis
86,15.5,11,11.3,17.9,24,35,9,15,58,L,3027,Ctenotus_grandis
94,15.9,11,10.2,18.1,23,36,10,17,28,L,3028,Ctenotus_grandis
85,15.9,11.4,10,19.6,21,35,10,16,131,L,3041,Ctenotus_grandis
78,15.6,10.5,9.4,22.3,20,35,9,15,106,L,3045,Ctenotus_grandis
47,10,6.7,5.9,11.5,14,22,7,12,77,L,3080,Ctenotus_grandis
100,16,11,10.7,20.9,24,37,8,16,129,L,3092,Ctenotus_grandis
96,15.5,11.6,11.5,19.4,23,34,8,14,115,L,3093,Ctenotus_grandis
85,15.3,10.5,10,18.2,24,34,10,15,149,L,3118,Ctenotus_grandis
84,15.4,11.6,9.7,18.5,23,34,9,14,141,L,3120,Ctenotus_grandis
91,15.4,10.9,10.5,19.5,25,36,9,17,163,L,3140,Ctenotus_grandis
88,14.9,10,9.9,18.6,23,37,10,16,26,L,3149,Ctenotus_grandis
86,15,11.5,9.3,18.4,22,35,9,16,155,L,3162,Ctenotus_grandis
87,16,11.3,10.8,19.5,24,36,8,17,161,L,3164,Ctenotus_grandis
89,15.7,10.2,9.7,18.5,22,37,9,16,116,L,3170,Ctenotus_grandis
92,15.9,10.8,11.7,19.7,23,37,8,16,168,L,3172,Ctenotus_grandis
92,11.1,11.8,10.7,13.3,23,36,9,16,58,L,3175,Ctenotus_grandis
87,15.3,11.2,10.8,19.5,25,34,9,17,127,L,3302,Ctenotus_grandis
52,9.8,5.9,5.5,12,13,20,6,12,85,L,3308,Ctenotus_grandis
88,15.6,10.8,11.9,20,25,36,9,16,125,L,3372,Ctenotus_grandis
96,15.2,10,10.4,17.8,22,37,9,15,154,L,3448,Ctenotus_grandis
102,16.7,11,10.9,20.6,27,36,10,17,106,R,2521,Ctenotus_grandis
97,16,10.8,9.3,20.1,23,37,10,15,138,R,2765,Ctenotus_grandis
42,9.5,6.3,5.1,10.6,13,20,5,10,67,R,2767,Ctenotus_grandis
88,16.2,11.3,10.5,20.5,23,32,9,18,157,R,2766,Ctenotus_grandis
83,15.4,11.5,10.8,18.6,25,35,10,16,122,R,2777,Ctenotus_grandis
55,10.8,7.5,6.4,12.4,15,23,7,12,88,R,3639,Ctenotus_grandis
62,11.5,7,6.9,13,15,25,7,16,94,R,3959,Ctenotus_grandis
98,16.5,12.3,11.6,20,21,36,10,16,132,R,4021,Ctenotus_grandis
88,13.9,9,7.4,16,20,33,10,15,0,M,10196,Ctenotus_helenae
66,12.6,7.5,6.4,14,19,28,9,15,0,M,10200,Ctenotus_helenae
80,14.3,9.4,6.5,16.1,20,32,9,15,0,G,10377,Ctenotus_helenae
