Number,Genus_species,Sex,SVL,Wt,Tail,RTL,LTL,TotTL,TotTVoL
26866,Brachyurophis_fasciolatus,MALE,310,16,41,11,11,22,
26868,Brachyurophis_fasciolatus,MALE,311,16,42,12,10,22,
26889,Brachyurophis_fasciolatus,MALE,165,2.6,14,2,2,4,
28099,Brachyurophis_fasciolatus,MALE,297,15,41,8,6,14,
28214,Brachyurophis_fasciolatus,MALE,287,14,43,10,8,18,
29363,Brachyurophis_fasciolatus,MALE,280,11.6,37,9,10,19,
31819,Brachyurophis_fasciolatus,MALE,310,14.6,43,14,11,25,
32027,Brachyurophis_fasciolatus,MALE,281,8.4,44,11,8,19,
33408,Brachyurophis_fasciolatus,MALE,282,11.7,45,14,9,23,
33501,Brachyurophis_fasciolatus,MALE,286,8.5,39,12,10,22,
33777,Brachyurophis_fasciolatus,MALE,287,9.2,37,13,10,23,
33842,Brachyurophis_fasciolatus,MALE,282,11.1,35,10,11,21,
33881,Brachyurophis_fasciolatus,MALE,283,9,27,9,7,16,
27993,Brachyurophis_semifasciatus,MALE,247,6.1,26,7,5,12,
28897,Brachyurophis_semifasciatus,MALE,268,8.6,30,8,9,17,
29018,Brachyurophis_semifasciatus,MALE,260,6.8,27,7,6,13,
29426,Brachyurophis_semifasciatus,MALE,282,9.3,29,8,8,16,
29704,Brachyurophis_semifasciatus,MALE,290,11.8,33,7,7,14,
29764,Brachyurophis_semifasciatus,MALE,265,9,30,5,5,10,
29779,Brachyurophis_semifasciatus,MALE,253,8.4,25,8,7,15,
30062,Brachyurophis_semifasciatus,MALE,265,8.4,25,9,6,15,
30223,Brachyurophis_semifasciatus,MALE,277,10,28,9,7,16,
30543,Brachyurophis_semifasciatus,MALE,340,12.5,20,5,2,7,
30594,Brachyurophis_semifasciatus,MALE,305,13.6,31,6,6,12,
2003,Brachyurophis_semifasciatus,MALE,130,1.2,11,1.2,1,2.2,
2066,Brachyurophis_semifasciatus,MALE,227,6.2,32,6.2,11,17.2,
2069,Brachyurophis_semifasciatus,MALE,290,10.1,39,10.1,10,20.1,
2151,Brachyurophis_semifasciatus,MALE,228,4.4,23,4.4,4,8.4,
2180,Brachyurophis_semifasciatus,MALE,270,8.4,34,8.4,10,18.4,
2234,Brachyurophis_semifasciatus,MALE,245,6.4,24,6.4,5,11.4,
31936,Brachyurophis_semifasciatus,MALE,281,8.1,29,6,9,15,
31939,Brachyurophis_semifasciatus,MALE,310,13.5,33,11,10,21,
31940,Brachyurophis_semifasciatus,MALE,285,9.3,28,9,9,18,
32367,Brachyurophis_semifasciatus,MALE,295,9,30,9,9,18,
32442,Brachyurophis_semifasciatus,MALE,295,11,34,10,9,19,
32798,Brachyurophis_semifasciatus,MALE,295,9.7,30,10,9,19,
33255,Brachyurophis_semifasciatus,MALE,120,0.9,10,1,1,2,
33776,Brachyurophis_semifasciatus,MALE,270,8.3,29,8,8,16,
34010,Brachyurophis_semifasciatus,MALE,261,6.3,25,8,6,14,
34056,Brachyurophis_semifasciatus,MALE,304,10.1,33,9,8,17,
10103,Caimanops_amphiboluroides,MALE,72,,117,11.5,13,24.5,
10104,Caimanops_amphiboluroides,MALE,69,,119,8,9,17,
10147,Caimanops_amphiboluroides,MALE,85,,137,11.5,11.5,23,
10218,Caimanops_amphiboluroides,MALE,66,,105,7,7,14,
10544,Caimanops_amphiboluroides,MALE,86,12,141,11,11,22,
10545,Caimanops_amphiboluroides,MALE,82,11.5,130,12,13,25,
31339,Carlia_jarnoldae,MALE,,,,1.5,1,2.5,1.12
31336,Carlia_schultzi,MALE,,,,2.3,2.2,4.5,25.72
848,Cryptoblepharus_buchananii,MALE,42,1.3,57,5,5,10,173.72
859,Cryptoblepharus_buchananii,MALE,35,0.8,56,4,4,8,97.32
921,Cryptoblepharus_buchananii,MALE,38,1,,4,4,8,97.32
922,Cryptoblepharus_buchananii,MALE,42,1.2,,5,5,10,173.72
969,Cryptoblepharus_buchananii,MALE,40,1.2,59,5,5,10,173.72
982,Cryptoblepharus_buchananii,MALE,41,1.1,,5,5,10,173.72
983,Cryptoblepharus_buchananii,MALE,42,1.1,59,5,6,11,227.89
989,Cryptoblepharus_buchananii,MALE,35,0.7,46,4,4,8,97.32
1350,Cryptoblepharus_buchananii,MALE,43,1.3,,6,6,12,282.05
1392,Cryptoblepharus_buchananii,MALE,35,0.6,,3.5,3,6.5,58.17
1711,Cryptoblepharus_buchananii,MALE,39,0.9,,5.5,4.5,10,177.1
1718,Cryptoblepharus_buchananii,MALE,44,1.1,,6,6,12,282.05
1759,Cryptoblepharus_buchananii,MALE,40,1,,4,5,9,135.52
2030,Cryptoblepharus_buchananii,MALE,45,1.3,,6,6,12,282.05
2069,Cryptoblepharus_buchananii,MALE,40,1.2,,5,5,10,173.72
2129,Cryptoblepharus_buchananii,MALE,37,0.9,56,5,4,9,135.52
3279,Cryptoblepharus_buchananii,MALE,26,0.3,38,1,1.5,2.5,6.85
3280,Cryptoblepharus_buchananii,MALE,37,0.8,,3,3,6,47.29
3415,Cryptoblepharus_buchananii,MALE,39,1.3,,5,5,10,173.72
3580,Cryptoblepharus_buchananii,MALE,38,1.1,57,3,3,6,47.29
22981,Cryptoblepharus_buchananii,MALE,42,1.1,57,6,5.5,11.5,311.51
23258,Cryptoblepharus_buchananii,MALE,42,1.2,,5,5,10,172.68
23531,Cryptoblepharus_buchananii,MALE,37,0.7,,4.3,3.6,7.9,110.99
23539,Cryptoblepharus_buchananii,MALE,42,1,53,4.3,4.3,8.6,108.16
23652,Cryptoblepharus_buchananii,MALE,39,0.8,,4,4,8,142.08
23789,Cryptoblepharus_buchananii,MALE,37,0.6,39,3.5,3.5,7,75.14
23828,Cryptoblepharus_buchananii,MALE,42,1,56,5,3.5,8.5,111.26
24761,Cryptoblepharus_buchananii,MALE,28,0.3,,1.2,1,2.2,0.31
24868,Cryptoblepharus_buchananii,MALE,44,1.2,,5,4.9,9.9,213.42
24869,Cryptoblepharus_buchananii,MALE,42,1.1,59,5.8,5.5,11.3,141.96
24880,Cryptoblepharus_buchananii,MALE,40,1,56,4,4,8,127.76
24885,Cryptoblepharus_buchananii,MALE,42,1.4,55,5.3,4.8,10.1,174.63
24889,Cryptoblepharus_buchananii,MALE,35,0.6,48,3.5,3.2,6.7,87.7
24962,Cryptoblepharus_buchananii,MALE,34,0.5,47,2,2,4,8.38
24969,Cryptoblepharus_buchananii,MALE,43,1.1,61,5.5,5,10.5,131.8
24984,Cryptoblepharus_buchananii,MALE,36,0.8,55,2.9,3,5.9,44.81
25189,Cryptoblepharus_buchananii,MALE,43,1,,5.5,5.5,11,175.67
25247,Cryptoblepharus_buchananii,MALE,45,1.4,66,5,4.7,9.7,177.14
25624,Cryptoblepharus_buchananii,MALE,38,0.9,50,4,3.5,7.5,105.8
25949,Cryptoblepharus_buchananii,MALE,42,1.2,,1.8,4.5,6.3,92.83
26307,Cryptoblepharus_buchananii,MALE,37,0.8,49,3,3.5,6.5,34.73
26415,Cryptoblepharus_buchananii,MALE,43,1,,5,5.2,10.2,167.48
26418,Cryptoblepharus_buchananii,MALE,43,1.3,,4.5,4.5,9,117.81
26425,Cryptoblepharus_buchananii,MALE,43,1.4,,5.5,5,10.5,231.95
26441,Cryptoblepharus_buchananii,MALE,42,1.1,,4,3.9,7.9,142.28
27046,Cryptoblepharus_buchananii,MALE,43,1.1,60,5,5,10,193.73
27119,Cryptoblepharus_buchananii,MALE,36,0.6,,3,4.1,7.1,66.69
27195,Cryptoblepharus_buchananii,MALE,30,0.3,30,2.3,2,4.3,9.01
27758,Cryptoblepharus_buchananii,MALE,37,0.8,,3.9,3.3,7.2,83.02
27840,Cryptoblepharus_buchananii,MALE,41,1.1,,4.2,4.3,8.5,125.25
9787,Cryptoblepharus_buchananii           ,MALE,36,,53,4,3,7,72.31
10115,Cryptoblepharus_buchananii           ,MALE,,,,4,4,8,97.32
10534,Cryptoblepharus_buchananii           ,MALE,40,1,52,3,3,6,47.29
10537,Cryptoblepharus_buchananii           ,MALE,33,0.8,46,2,2,4,18.1
10807,Cryptoblepharus_buchananii           ,MALE,39,1,,3,3,6,47.29
10858,Cryptoblepharus_buchananii           ,MALE,41,1,55,3.5,3,6.5,58.17
10861,Cryptoblepharus_buchananii           ,MALE,47,1,,3,4,7,72.31
10951,Cryptoblepharus_buchananii           ,MALE,37,0.5,,3.5,3.5,7,69.04
11009,Cryptoblepharus_buchananii           ,MALE,44,1.7,60,5,5,10,173.72
11015,Cryptoblepharus_buchananii           ,MALE,43,1.7,61,4,5,9,135.52
11037,Cryptoblepharus_buchananii           ,MALE,32,0.5,,1,1,2,4.19
11184,Cryptoblepharus_buchananii           ,MALE,38,1,,4,4,8,97.32
11198,Cryptoblepharus_buchananii           ,MALE,37,1,54,4.5,4,8.5,114.34
11199,Cryptoblepharus_buchananii           ,MALE,31,0.7,,2.5,2,4.5,24.18
12014,Cryptoblepharus_buchananii           ,MALE,44,1.5,,6,6,12,282.05
12018,Cryptoblepharus_buchananii           ,MALE,40,1,63,5,5,10,173.72
12019,Cryptoblepharus_buchananii           ,MALE,39,0.7,54,4,3,7,72.31
12029,Cryptoblepharus_buchananii           ,MALE,38,0.5,52,5,5,10,173.72
12030,Cryptoblepharus_buchananii           ,MALE,41,0.8,,4.5,4,8.5,114.34
12031,Cryptoblepharus_buchananii           ,MALE,45,1,,6,5.5,11.5,252.44
12032,Cryptoblepharus_buchananii           ,MALE,41,0.7,,5,5,10,173.72
12495,Cryptoblepharus_buchananii           ,MALE,34,0.8,54,3,3,6,47.29
12506,Cryptoblepharus_buchananii           ,MALE,40,0.7,52,4.5,4.5,9,131.37
12556,Cryptoblepharus_buchananii           ,MALE,32,0.8,48,3.5,3.5,7,69.04
12786,Cryptoblepharus_buchananii           ,MALE,36,1,,4,3,7,72.31
12791,Cryptoblepharus_buchananii           ,MALE,36,0.7,,4,4,8,97.32
12794,Cryptoblepharus_buchananii           ,MALE,34,1,50,3,3,6,47.29
13000,Cryptoblepharus_buchananii           ,MALE,38,1.2,61,4,4,8,97.32
13300,Cryptoblepharus_buchananii           ,MALE,37,1,,4,3,7,72.31
9849,Ctenophorus_caudicinctus,MALE,92,,,4,3.5,7.5,
9896,Ctenophorus_caudicinctus,MALE,82,,171,7,8,15,
10027,Ctenophorus_caudicinctus,MALE,,,,6,6,12,
10028,Ctenophorus_caudicinctus,MALE,,,,6,6,12,
10030,Ctenophorus_caudicinctus,MALE,,,,5,4,9,
10032,Ctenophorus_caudicinctus,MALE,,,,7,7,14,
10105,Ctenophorus_caudicinctus,MALE,,,,5,6,11,
10117,Ctenophorus_caudicinctus,MALE,,,,7,6,13,
10160,Ctenophorus_caudicinctus,MALE,,,,6,7,13,
10161,Ctenophorus_caudicinctus,MALE,,,,5,5,10,
10169,Ctenophorus_caudicinctus,MALE,,,,5,6,11,
10219,Ctenophorus_caudicinctus,MALE,,,,5.5,6,11.5,
10220,Ctenophorus_caudicinctus,MALE,,,,6,6.5,12.5,
10221,Ctenophorus_caudicinctus,MALE,,,,6,5,11,
10638,Ctenophorus_caudicinctus,MALE,80,21.5,175,7.5,6.5,14,
13470,Ctenophorus_caudicinctus,MALE,73,14,155,8,7,15,
13490,Ctenophorus_caudicinctus,MALE,68,10.7,151,7,7,14,
13498,Ctenophorus_caudicinctus,MALE,61,9.7,138,7,7,14,
13505,Ctenophorus_caudicinctus,MALE,74,16.5,166,7,7,14,
13506,Ctenophorus_caudicinctus,MALE,65,13,156,7,7,14,
13507,Ctenophorus_caudicinctus,MALE,61,10,138,7,7,14,
13508,Ctenophorus_caudicinctus,MALE,62,10.3,143,8,8,16,
13512,Ctenophorus_caudicinctus,MALE,71,13,160,7,6,13,
13533,Ctenophorus_caudicinctus,MALE,65,9.5,120,7,7,14,
13534,Ctenophorus_caudicinctus,MALE,63,9.7,,7,6,13,
13536,Ctenophorus_caudicinctus,MALE,71,14.7,145,8,8,16,
13539,Ctenophorus_caudicinctus,MALE,68,13.5,139,7,8,15,
13541,Ctenophorus_caudicinctus,MALE,67,10,131,7,7,14,
13542,Ctenophorus_caudicinctus,MALE,80,19,171,6.5,6.5,13,
13544,Ctenophorus_caudicinctus,MALE,65,10.7,148,7.5,7,14.5,
13546,Ctenophorus_caudicinctus,MALE,68,12,,7,3.5,10.5,
13549,Ctenophorus_caudicinctus,MALE,65,10,143,5,6.5,11.5,
13552,Ctenophorus_caudicinctus,MALE,69,11.5,,8,9,17,
13555,Ctenophorus_caudicinctus,MALE,75,16.7,170,7,6,13,
13561,Ctenophorus_caudicinctus,MALE,66,10,134,7,7,14,
13562,Ctenophorus_caudicinctus,MALE,71,13,152,8,8,16,
13580,Ctenophorus_caudicinctus,MALE,65,11.7,149,7.5,7.5,15,
13584,Ctenophorus_caudicinctus,MALE,64,10.3,146,7,6.5,13.5,
13585,Ctenophorus_caudicinctus,MALE,75,16.5,161,8,8,16,
13588,Ctenophorus_caudicinctus,MALE,65,10.5,142,7,7,14,
13591,Ctenophorus_caudicinctus,MALE,68,11.5,155,8,8,16,
2015,Ctenophorus_caudicinctus,MALE,70,13.6,131,8,7,15,
2016,Ctenophorus_caudicinctus,MALE,67,11.8,139,7,8,15,
2018,Ctenophorus_caudicinctus,MALE,70,13,143,8,7,15,
2019,Ctenophorus_caudicinctus,MALE,66,10.5,141,5,5,10,
9773,Ctenophorus_clayi,MALE,50,,79,6,6,12,
9893,Ctenophorus_clayi,MALE,39,,58,4,4,8,
966,Ctenophorus_clayi,MALE,42,2.6,64,4.5,4.5,9,
1889,Ctenophorus_clayi,MALE,47,3,72,,,,
2499,Ctenophorus_clayi,MALE,54,4,75,5.5,5.8,11.3,
4095,Ctenophorus_clayi,MALE,41,2.1,68,2,2,4,
22855,Ctenophorus_clayi,MALE,42,2.4,63,4.2,4.7,8.9,112.19
23033,Ctenophorus_clayi,MALE,50,3.3,71,5.5,4.8,10.3,134.83
23034,Ctenophorus_clayi,MALE,45,2.2,62,3,5,8,200.79
23060,Ctenophorus_clayi,MALE,52,4.8,80,5,5,10,188.5
23389,Ctenophorus_clayi,MALE,50,4.4,81,5.4,5.2,10.6,242.26
23403,Ctenophorus_clayi,MALE,47,2.5,72,2.5,2.5,5,41.89
23436,Ctenophorus_clayi,MALE,48,3,69,4,5.5,9.5,329.53
23509,Ctenophorus_clayi,MALE,46,2.7,68,4,4,8,150.8
23672,Ctenophorus_clayi,MALE,47,3.4,68,4.5,4.5,9,169.65
23674,Ctenophorus_clayi,MALE,49,3.4,68,4.7,4.5,9.2,236.04
23722,Ctenophorus_clayi,MALE,45,2.4,60,4.5,5,9.5,115.31
23921,Ctenophorus_clayi,MALE,48,3.1,74,5,5.5,10.5,172.41
23937,Ctenophorus_clayi,MALE,48,3.3,69,4.5,5,9.5,243.74
24057,Ctenophorus_clayi,MALE,30,0.8,40,1,1,2,1.05
24119,Ctenophorus_clayi,MALE,53,5.2,81,,4,,
24133,Ctenophorus_clayi,MALE,50,4.8,76,4.5,4.2,8.7,237.78
24340,Ctenophorus_clayi,MALE,34,1.6,47,2.5,2.5,5,23.56
24507,Ctenophorus_clayi,MALE,33,0.9,48,1.5,1.5,3,6.28
24895,Ctenophorus_clayi,MALE,40,2,52,4,3.5,7.5,65.92
24945,Ctenophorus_clayi,MALE,33,1.1,45,1,1,2,1.05
25132,Ctenophorus_clayi,MALE,47,3.6,68,5,4.5,9.5,155.99
25178,Ctenophorus_clayi,MALE,42,2.1,62,3.5,3.5,7,91.63
25187,Ctenophorus_clayi,MALE,45,2.6,63,4,4.2,8.2,111.61
25306,Ctenophorus_clayi,MALE,51,3.9,70,5,5.5,10.5,235.36
25457,Ctenophorus_clayi,MALE,45,2.3,64,4,4.2,8.2,121.93
25734,Ctenophorus_clayi,MALE,44,2.6,65,4.7,4.5,9.2,130.59
25818,Ctenophorus_clayi,MALE,44,2.7,66,4.5,4,8.5,190.85
25842,Ctenophorus_clayi,MALE,45,3,63,5.5,5,10.5,206.56
26006,Ctenophorus_clayi,MALE,46,3.4,75,4.4,4.5,8.9,179.19
26027,Ctenophorus_clayi,MALE,50,3.6,76,4,5,9,169.65
26107,Ctenophorus_clayi,MALE,49,3.1,73,4.5,5,9.5,139.34
26279,Ctenophorus_clayi,MALE,31,1,45,1.2,1.2,2.4,0.45
26380,Ctenophorus_clayi,MALE,37,1.7,54,1.5,1.7,3.2,5.42
26594,Ctenophorus_clayi,MALE,30,1,41,1,1,2,1.05
26619,Ctenophorus_clayi,MALE,32,1,45,1,1,2,4.19
26690,Ctenophorus_clayi,MALE,43,2.4,59,4,5,9,169.65
26691,Ctenophorus_clayi,MALE,53,5.1,86,6,6,12,226.2
26702,Ctenophorus_clayi,MALE,44,3.2,65,4,4,8,150.8
26729,Ctenophorus_clayi,MALE,40,2.3,61,4,3,7,58.64
26752,Ctenophorus_clayi,MALE,33.5,1.3,44.5,3,3,6,50.27
26823,Ctenophorus_clayi,MALE,43,2.8,66,4,5,9,169.65
26877,Ctenophorus_clayi,MALE,37,1.7,55,2.5,3.2,5.7,24.78
26878,Ctenophorus_clayi,MALE,47,3.4,71,5,6,11,154.99
26947,Ctenophorus_clayi,MALE,37,1.4,51,4,5,9,75.4
26953,Ctenophorus_clayi,MALE,42,2.1,63,5,4,9,169.65
26991,Ctenophorus_clayi,MALE,41,2.3,63,4,4,8,150.8
27021,Ctenophorus_clayi,MALE,38,1.4,48,3,3,6,50.27
27292,Ctenophorus_clayi,MALE,47,3.1,64,5,5,10,261.8
27375,Ctenophorus_clayi,MALE,46,3,74,5,5,10,188.5
27513,Ctenophorus_clayi,MALE,50,3.9,75,6,7,13,435.64
27564,Ctenophorus_clayi,MALE,45,2.7,72,5,5,10,261.8
27607,Ctenophorus_clayi,MALE,52,4.6,78,6,6,12,314.16
27638,Ctenophorus_clayi,MALE,44,2.5,61,5,5,10,188.5
27641,Ctenophorus_clayi,MALE,47,2.9,70,4,5,9,169.65
28045,Ctenophorus_clayi,MALE,49,3.6,80,6,6,12,402.12
28093,Ctenophorus_clayi,MALE,50,3.7,78,6,5,11,368.61
28107,Ctenophorus_clayi,MALE,47,3.2,67,5,6,11,368.61
28112,Ctenophorus_clayi,MALE,44,2.8,64,5,5,10,188.5
28146,Ctenophorus_clayi,MALE,48,3.6,65,6,6,12,226.2
28167,Ctenophorus_clayi,MALE,46,2.6,69,5,4,9,242.95
28181,Ctenophorus_clayi,MALE,47,3.3,72,6,4,10,276.46
29108,Ctenophorus_clayi,MALE,52,4.7,75,7,6,13,435.64
29144,Ctenophorus_clayi,MALE,51,4.8,72,5,5,10,188.5
29171,Ctenophorus_clayi,MALE,43,2.4,62,4,5,9,169.65
29256,Ctenophorus_clayi,MALE,43,2.1,59,3,4,7,58.64
30290,Ctenophorus_clayi,MALE,55,4.5,75,5,5,10,335.1
30295,Ctenophorus_clayi,MALE,47,3.1,68,5,6,11,280.65
30332,Ctenophorus_clayi,MALE,48,3.8,73,6,5,11,207.35
30359,Ctenophorus_clayi,MALE,49,3.7,70,6,6,12,314.16
30363,Ctenophorus_clayi,MALE,47,3,66,5,5,10,261.8
30771,Ctenophorus_clayi,MALE,45,3.3,70,5,5,10,188.5
30875,Ctenophorus_clayi,MALE,48,2.7,71,,4,,75.4
32044,Ctenophorus_clayi,MALE,54,5,84,,,,
32571,Ctenophorus_clayi,MALE,45,3.4,67,5,6,11,207.35
33281,Ctenophorus_clayi,MALE,44,2.6,60,4,5,9,169.65
33349,Ctenophorus_clayi,MALE,46,2.9,67,5,5,10,188.5
33352,Ctenophorus_clayi,MALE,43,2.3,63,4,3,7,100.53
33375,Ctenophorus_clayi,MALE,40,2.1,58,3,4,7,131.95
33442,Ctenophorus_clayi,MALE,43,2.6,67,4,5,9,75.4
33469,Ctenophorus_clayi,MALE,45,2.9,67,4,4,8,150.8
33483,Ctenophorus_clayi,MALE,46,3.2,67,4,4,8,150.8
33498,Ctenophorus_clayi,MALE,42,2,62,4,4,8,108.91
33543,Ctenophorus_clayi,MALE,44,2.9,67,4,5,9,75.4
33559,Ctenophorus_clayi,MALE,46,3,,3,4,7,58.64
33578,Ctenophorus_clayi,MALE,52,3.7,73,5,5,10,261.8
33628,Ctenophorus_clayi,MALE,50,3.6,68,5,6,11,207.35
33708,Ctenophorus_clayi,MALE,47,3.2,69,4,4,8,150.8
33766,Ctenophorus_clayi,MALE,53,5,80,4,5,9,242.95
33825,Ctenophorus_clayi,MALE,48,3.4,69,5,5,10,335.1
33847,Ctenophorus_clayi,MALE,54,4.6,81,7,7,14,469.15
33946,Ctenophorus_clayi,MALE,48,4.3,73,6,6,12,226.2
33993,Ctenophorus_clayi,MALE,46,2.5,60,5,5,10,188.5
34044,Ctenophorus_clayi,MALE,43,2.7,66,5,5,10,188.5
34097,Ctenophorus_clayi,MALE,48,2.8,71,6,6,12,314.16
34282,Ctenophorus_clayi,MALE,39,2,59,3,3,6,50.27
34866,Ctenophorus_clayi,MALE,51,4,72,5,5,10,261.8
10274,Ctenophorus_cristatus,MALE,70,,146,3,3,6,
10278,Ctenophorus_cristatus,MALE,85,,195,4,4,8,
10279,Ctenophorus_cristatus,MALE,92,,215,4.5,4,8.5,
11230,Ctenophorus_fordi,MALE,49,3.5,130,5,,,
11262,Ctenophorus_fordi,MALE,44,2,109,2,2.5,4.5,
11288,Ctenophorus_fordi,MALE,49,3,107,3.5,4,7.5,
11289,Ctenophorus_fordi,MALE,52,4,134,4,4.5,8.5,
11292,Ctenophorus_fordi,MALE,51,3.5,125,3.5,4,7.5,
11325,Ctenophorus_fordi,MALE,52,4,127,5.5,4.5,10,
11328,Ctenophorus_fordi,MALE,48,2.7,111,3.5,4.5,8,
11332,Ctenophorus_fordi,MALE,48,3.7,118,3.5,5,8.5,
11336,Ctenophorus_fordi,MALE,50,3.5,123,3.5,4,7.5,
11337,Ctenophorus_fordi,MALE,45,2.7,114,3,3,6,
11339,Ctenophorus_fordi,MALE,47,3.2,114,4,4,8,
11345,Ctenophorus_fordi,MALE,50,4,131,4.5,4.5,9,
11346,Ctenophorus_fordi,MALE,49,3.2,116,4,4.5,8.5,
11360,Ctenophorus_fordi,MALE,50,3.7,132,4,4,8,
11361,Ctenophorus_fordi,MALE,49,3.7,124,4.5,5,9.5,
11368,Ctenophorus_fordi,MALE,45,2.5,112,4,4.5,8.5,
11373,Ctenophorus_fordi,MALE,49,3.2,121,4,4.5,8.5,
11383,Ctenophorus_fordi,MALE,53,3.7,131,4.5,5,9.5,
11402,Ctenophorus_fordi,MALE,51,4,131,4,5,9,
11404,Ctenophorus_fordi,MALE,47,3.2,126,3,4,7,
11432,Ctenophorus_fordi,MALE,49,3.5,127,4.5,5,9.5,
11433,Ctenophorus_fordi,MALE,50,4.5,130,4,5,9,
11438,Ctenophorus_fordi,MALE,45,2.7,110,3.5,3.5,7,
11455,Ctenophorus_fordi,MALE,45,3,110,3,2.5,5.5,
11457,Ctenophorus_fordi,MALE,48,3.5,125,4,4,8,
11475,Ctenophorus_fordi,MALE,46,2.7,116,3,3.5,6.5,
11478,Ctenophorus_fordi,MALE,47,3,119,3.5,4,7.5,
11480,Ctenophorus_fordi,MALE,47,5,120,4,4,8,
11482,Ctenophorus_fordi,MALE,47,3,120,3,3.5,6.5,
11485,Ctenophorus_fordi,MALE,51,3.5,127,3,3.5,6.5,
12086,Ctenophorus_fordi,MALE,52,5,141,5,6,11,
12095,Ctenophorus_fordi,MALE,51,4,134,5,5,10,
12105,Ctenophorus_fordi,MALE,47,3.7,128,4,4,8,
12106,Ctenophorus_fordi,MALE,52,4.5,141,6,6.5,12.5,
12107,Ctenophorus_fordi,MALE,53,4,137,5.5,6,11.5,
12108,Ctenophorus_fordi,MALE,53,4.5,146,5.5,6,11.5,
12118,Ctenophorus_fordi,MALE,49,4.5,139,5,5.5,10.5,
12119,Ctenophorus_fordi,MALE,50,4.7,133,3.5,5.5,9,
12124,Ctenophorus_fordi,MALE,52,4.5,133,6,6,12,
12126,Ctenophorus_fordi,MALE,52,4,127,5.5,5,10.5,
12155,Ctenophorus_fordi,MALE,51,4.5,137,,,,
12156,Ctenophorus_fordi,MALE,53,4.5,138,5,5.5,10.5,
12159,Ctenophorus_fordi,MALE,53,4.2,130,5.5,5.5,11,
12165,Ctenophorus_fordi,MALE,50,4,128,4,5,9,
12193,Ctenophorus_fordi,MALE,46,3.5,114,2,4.5,6.5,
12205,Ctenophorus_fordi,MALE,53,4,140,6,7,13,
12207,Ctenophorus_fordi,MALE,52,4,137,5.5,5.5,11,
12232,Ctenophorus_fordi,MALE,47,3.2,124,5,5,10,
12243,Ctenophorus_fordi,MALE,53,4,,5,5,10,
12259,Ctenophorus_fordi,MALE,55,5,128,6,6.5,12.5,
12262,Ctenophorus_fordi,MALE,52,5,,5.5,5.5,11,
12311,Ctenophorus_fordi,MALE,53,5,143,5.5,6,11.5,
12894,Ctenophorus_fordi,MALE,54,5,153,6,6,12,
12947,Ctenophorus_fordi,MALE,52,5,145,6,6,12,
13121,Ctenophorus_fordi,MALE,25,0.7,56,1,1,2,
13134,Ctenophorus_fordi,MALE,52,4.5,135,5,4.5,9.5,
13150,Ctenophorus_fordi,MALE,54,5,138,5,5.5,10.5,
1542,Ctenophorus_fordi,MALE,51,3.9,120,,,,
1833,Ctenophorus_fordi,MALE,51,4.1,144,,,,
23623,Ctenophorus_fordi,MALE,53,4.6,151,4.5,5.1,9.6,239.48
22869,Ctenophorus_fordi,MALE,51,2.6,112,2,2,4,8.38
9835,Ctenophorus_isolepis,MALE,49,,119,2.5,3.5,6,37.56
9838,Ctenophorus_isolepis,MALE,,,,1.5,1.5,3,4.33
9841,Ctenophorus_isolepis,MALE,58,,140,2,2,4,10.32
9842,Ctenophorus_isolepis,MALE,70,,,,,,
10022,Ctenophorus_isolepis,MALE,,,,4,3.5,7.5,68.51
10023,Ctenophorus_isolepis,MALE,,,,3,4,7,58.23
10037,Ctenophorus_isolepis,MALE,,,,4,3.5,7.5,68.51
10038,Ctenophorus_isolepis,MALE,,,,3.5,4,7.5,68.51
10039,Ctenophorus_isolepis,MALE,,,,3,3,6,34.63
10048,Ctenophorus_isolepis,MALE,,,,3,4.5,7.5,75.75
10058,Ctenophorus_isolepis,MALE,,,,3.5,3.5,7,55.18
10060,Ctenophorus_isolepis,MALE,,,,3.5,3,6.5,44.9
10062,Ctenophorus_isolepis,MALE,,,,4,5,9,121.27
10065,Ctenophorus_isolepis,MALE,,,,3,3.5,6.5,44.9
10070,Ctenophorus_isolepis,MALE,,,,4,3.5,7.5,68.51
10071,Ctenophorus_isolepis,MALE,,,,4,4,8,81.83
10073,Ctenophorus_isolepis,MALE,,,,3.5,3,6.5,44.9
10107,Ctenophorus_isolepis,MALE,,,,4,4,8,81.83
10173,Ctenophorus_isolepis,MALE,,,,3.5,4,7.5,68.51
10177,Ctenophorus_isolepis,MALE,,,,3.5,4,7.5,68.51
10186,Ctenophorus_isolepis,MALE,,,,4,3,7,58.23
10188,Ctenophorus_isolepis,MALE,,,,4,4,8,81.83
10189,Ctenophorus_isolepis,MALE,,,,4,4,8,81.83
10190,Ctenophorus_isolepis,MALE,,,,3.5,3.5,7,55.18
10201,Ctenophorus_isolepis,MALE,,,,5,5,10,160.7
10205,Ctenophorus_isolepis,MALE,,,,3,3,6,34.63
10206,Ctenophorus_isolepis,MALE,,,,3.5,4.5,8,86.02
10209,Ctenophorus_isolepis,MALE,,,,4,3.5,7.5,68.51
12713,Ctenophorus_isolepis,MALE,58,6.2,121,4.5,5.5,10,164.89
10273,Ctenophorus_isolepis,MALE,53,,116,3.5,4,7.5,68.51
10302,Ctenophorus_isolepis,MALE,57,,128,5,4,9,121.27
10316,Ctenophorus_isolepis,MALE,56,,117,3,4.5,7.5,75.75
