Number,site,ID,Genus,species,Genus species,Sex_old,Age_est,Sex,at,bt,time_orig,Date,Day,Month,yr,date,
1703,L,1703_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,25,36.1,901,301178,30,11,1978,30/11/1978,
2204,L,2204_L,Ctenotus,quatt,Ctenotus quatt,B ,Yearling,UNK,28.6,36.1,1023,281278,28,12,1978,28/12/1978,
1951,R,1951_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,28.8,36.1,923,131278,13,12,1978,13/12/1978,
898,R,898_R,Ctenophorus,isolepis,Ctenophorus isolepis,J ,Juvenile,UNK,22.4,36.2,1320,310878,31,8,1978,31/8/1978,
984,L,984_L,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,22.6,36.2,752,251078,25,10,1978,25/10/1978,
1047,L,1047_L,Ctenophorus,isolepis,Ctenophorus isolepis,F ,Adult,FEMALE,23.8,36.2,925,281078,28,10,1978,28/10/1978,
2198,L,2198_L,Ctenophorus,isolepis,Ctenophorus isolepis,B ,Yearling,UNK,23.9,36.2,811,281278,28,12,1978,28/12/1978,
1656,L,1656_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,24.9,36.2,1020,291178,29,11,1978,29/11/1978,
990,L,990_L,Ctenophorus,isolepis,Ctenophorus isolepis,JF,Juvenile,FEMALE,25.3,36.2,827,251078,25,10,1978,25/10/1978,
1615,L,1615_L,Ctenophorus,isolepis,Ctenophorus isolepis,M ,Adult,MALE,26,36.2,710,221178,22,11,1978,22/11/1978,
1884,R,1884_R,Ctenophorus,clayi,Ctenophorus clayi,F ,Adult,FEMALE,26.1,36.2,800,101278,10,12,1978,10/12/1978,
1390,L,1390_L,Ctenophorus,isolepis,Ctenophorus isolepis,F ,Adult,FEMALE,28,36.2,1400,131178,13,11,1978,13/11/1978,
964,R,964_R,Varanus,tristis,Varanus tristis,UNK,UNK,UNK,30,36.2,1730,211078,21,10,1978,21/10/1978,
1457,R,1457_R,Varanus,tristis,Varanus tristis,M ,Adult,MALE,30.7,36.2,1659,151178,15,11,1978,15/11/1978,
2272,R,2272_R,Moloch,horridus,Moloch horridus,F ,Adult,FEMALE,35.4,36.2,805,311278,31,12,1978,31/12/1978,
812,D,812_D,Ctenophorus,isolepis,Ctenophorus isolepis,B ,Yearling,UNK,18.5,36.3,1011,170878,17,8,1978,17/8/1978,
918,L,918_L,Ctenophorus,isolepis,Ctenophorus isolepis,M ,Adult,MALE,23.6,36.3,1604,151078,15,10,1978,15/10/1978,
1567,R,1567_R,Ctenophorus,isolepis,Ctenophorus isolepis,M ,Adult,MALE,27.4,36.3,845,201178,20,11,1978,20/11/1978,
976,L,976_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,28,36.3,1316,241078,24,10,1978,24/10/1978,
963,R,963_R,Liopholis,inornata,Liopholis inornata,UNK,UNK,UNK,31.3,36.3,1550,211078,21,10,1978,21/10/1978,
924,L,924_L,Ctenophorus,isolepis,Ctenophorus isolepis,M ,Adult,MALE,18.4,36.4,821,161078,16,10,1978,16/10/1978,
2054,L,2054_L,Ctenophorus,isolepis,Ctenophorus isolepis,M ,Adult,MALE,21.6,36.4,800,161278,16,12,1978,16/12/1978,
1031,L,1031_L,Ctenophorus,isolepis,Ctenophorus isolepis,UNK,UNK,UNK,23.2,36.4,1420,271078,27,10,1978,27/10/1978,
1535,R,1535_R,Lophognathus,longirostris,Lophognathus longirostris,UNK,UNK,UNK,23.4,36.4,936,181178,18,11,1978,18/11/1978,
1352,L,1352_L,Ctenophorus,isolepis,Ctenophorus isolepis,M ,Adult,MALE,25.2,36.4,1625,121178,12,11,1978,12/11/1978,
2219,R,2219_R,Ctenophorus,clayi,Ctenophorus clayi,F ,Adult,FEMALE,27,36.4,805,291278,29,12,1978,29/12/1978,
