Number,site,ID,Genus,species,Genus species,Sex_old,Age_est,Sex,at,bt,time_orig,Date,Day,Month,yr,date,
1799,R,1799_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,18.1,32.6,755,41278,4,12,1978,4/12/1978,
1070,R,1070_R,Ctenophorus,isolepis,Ctenophorus isolepis,F ,Adult,FEMALE,19.2,32.6,1307,291078,29,10,1978,29/10/1978,
1908,R,1908_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,19.4,32.6,725,111278,11,12,1978,11/12/1978,
2039,L,2039_L,Ctenophorus,isolepis,Ctenophorus isolepis,B ,Yearling,UNK,22.6,32.6,858,161278,16,12,1978,16/12/1978,
1451,R,1451_R,Lophognathus,longirostris,Lophognathus longirostris,UNK,UNK,UNK,26,32.6,815,151178,15,11,1978,15/11/1978,
1820,R,1820_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,26,32.6,836,61278,6,12,1978,6/12/1978,
2001,R,2001_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,27.2,32.6,839,151278,15,12,1978,15/12/1978,
1148,R,1148_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,27.6,32.6,854,21178,2,11,1978,2/11/1978,
2007,R,2007_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,28.4,32.6,1025,151278,15,12,1978,15/12/1978,
2072,L,2072_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,21,32.7,820,171278,17,12,1978,17/12/1978,
