Number,Site,ID,Genus,species,Genus species,Sex_old,Age_est,Sex,AT,BT,Time,Date,Day,Month,Year,DMY
10448,E,10448_E,Varanus,eremius,Varanus_eremius,UNK,UNK,UNK,36,41,1435,20,20,1,1966,20/1/1966
10544,A,10544_A,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,34.2,39.6,1207,1,1,2,1966,1/2/1966
10545,A,10545_A,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,35.8,39,1215,1,1,2,1966,1/2/1966
10963,A,10963_A,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,29.2,31.1,1730,19,19,3,1966,19/3/1966
11167,A,11167_A,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,33,38.2,1315,30,30,4,1966,30/4/1966
11636,I,11636_I,Varanus,eremius,Varanus_eremius,UNK,UNK,UNK,27,,1400,12,12,6,1966,12/6/1966
9824,I,9824_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,,,,11066,1,10,1966,1/10/1966
9825,I,9825_I,Heteronotia,binoei,Heteronotia_binoei,UNK,UNK,UNK,,,1500,11066,1,10,1966,1/10/1966
9826,I,9826_I,Heteronotia,binoei,Heteronotia_binoei,UNK,UNK,UNK,,23.4,1530,11066,1,10,1966,1/10/1966
9828,I,9828_I,Ctenophorus,reticulatus,Ctenophorus_reticulatus,UNK,UNK,UNK,,31.8,1515,31066,3,10,1966,3/10/1966
9830,I,9830_I,Ctenophorus,reticulatus,Ctenophorus_reticulatus,UNK,UNK,UNK,,31.6,1524,31066,3,10,1966,3/10/1966
9831,I,9831_I,Ctenophorus,reticulatus,Ctenophorus_reticulatus,UNK,UNK,UNK,,29.2,1535,31066,3,10,1966,3/10/1966
9832,I,9832_I,Lophognathus,longirostris,Lophognathus_longirostris,UNK,UNK,UNK,,37.6,1115,41066,4,10,1966,4/10/1966
9836,I,9836_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,37.2,,,51066,5,10,1966,5/10/1966
9839,I,9839_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,,39.4,,61066,6,10,1966,6/10/1966
9486,I,9486_I,Lialis,burtonis,Lialis_burtonis,UNK,UNK,UNK,25.4,25.8,1705,81066,8,10,1966,8/10/1966
9847,I,9847_I,Lialis,burtonis,Lialis_burtonis,UNK,UNK,UNK,25.4,25.8,1700,81066,8,10,1966,8/10/1966
9843,I,9843_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,,33.4,,91066,9,10,1966,9/10/1966
9845,I,9845_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,32,39.2,900,91066,9,10,1966,9/10/1966
9849,I,9849_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,37.2,41.8,1220,1066,12,10,1966,12/10/1966
9852,I,9852_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,,,,151066,15,10,1966,15/10/1966
9854,I,9854_I,Ctenotus,leonhardii,Ctenotus_leonhardii,UNK,UNK,UNK,,36.4,1020,161066,16,10,1966,16/10/1966
9856,I,9856_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,,,,161066,16,10,1966,16/10/1966
9857,I,9857_I,Rhynchoedura,ornata,Rhynchoedura_ornata,UNK,UNK,UNK,28.6,28.6,1730,161066,16,10,1966,16/10/1966
9858, ,9858_ ,Diplodactylus,conspicillatus,Diplodactylus_conspicillatus,UNK,UNK,UNK,25.8,25.8,174,161066,16,10,1966,16/10/1966
9859,I,9859_I,Heteronotia,binoei,Heteronotia_binoei,UNK,UNK,UNK,26.8,26.8,1800,161066,16,10,1966,16/10/1966
9860,I,9860_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,,27.8,1810,161066,16,10,1966,16/10/1966
9862,I,9862_I,Rhynchoedura,ornata,Rhynchoedura_ornata,UNK,UNK,UNK,,,1830,161066,16,10,1966,16/10/1966
9863,I,9863_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,,,1840,161066,16,10,1966,16/10/1966
9864,I,9864_I,Rhynchoedura,ornata,Rhynchoedura_ornata,UNK,UNK,UNK,,,1835,161066,16,10,1966,16/10/1966
9865,I,9865_I,Rhynchoedura,ornata,Rhynchoedura_ornata,UNK,UNK,UNK,,,1835,161066,16,10,1966,16/10/1966
9869,I,9869_I,Heteronotia,binoei,Heteronotia_binoei,UNK,UNK,UNK,,,1835,161066,16,10,1966,16/10/1966
9868,I,9868_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,,,1010,171066,17,10,1966,17/10/1966
9870,I,9870_I,Ctenotus,calurus,Ctenotus_calurus,UNK,UNK,UNK,27.2,36.6,945,191066,19,10,1966,19/10/1966
9872,I,9872_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,26,26.2,2010,191066,19,10,1966,19/10/1966
9879,I,9879_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,25,26,2057,191066,19,10,1966,19/10/1966
9880,I,9880_I,Ctenotus,pantherinus,Ctenotus_pantherinus,UNK,UNK,UNK,33.4,36.4,1800,201066,20,10,1966,20/10/1966
9881,I,9881_I,Rhynchoedura,ornata,Rhynchoedura_ornata,UNK,UNK,UNK,28.8,29.2,2000,201066,20,10,1966,20/10/1966
9882, ,9882_ ,Moloch,horridus,Moloch_horridus,UNK,UNK,UNK,31.4,35,1028,211066,21,10,1966,21/10/1966
9883,I,9883_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,31.4,,1100,211066,21,10,1966,21/10/1966
9884,I,9884_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,31.4,35.4,1103,211066,21,10,1966,21/10/1966
9893,I,9893_I,Ctenophorus,clayi,Ctenophorus_clayi,M,Adult,MALE,31.4,37.2,1630,231066,23,10,1966,23/10/1966
9886,I,9886_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,32.4,40.6,1200,231066,23,10,1966,23/10/1966
9887,I,9887_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,31,38.6,1712,231066,23,10,1966,23/10/1966
9889, ,9889_ ,Strophurus,ciliaris,Strophurus_ciliaris,UNK,UNK,UNK,24.2,23.6,2000,231066,23,10,1966,23/10/1966
9890, ,9890_ ,Strophurus,ciliaris,Strophurus_ciliaris,UNK,UNK,UNK,24.2,22,2004,231066,23,10,1966,23/10/1966
9891, ,9891_ ,Nephrurus,levis,Nephrurus_levis,UNK,UNK,UNK,24.2,24.4,2010,231066,23,10,1966,23/10/1966
9892, ,9892_ ,Strophurus,ciliaris,Strophurus_ciliaris,UNK,UNK,UNK,24.2,22.8,2026,231066,23,10,1966,23/10/1966
9894, ,9894_ ,Pogona,minor,Pogona_minor,UNK,UNK,UNK,31.8,36.6,1650,231066,23,10,1966,23/10/1966
9895,I,9895_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,,,,241066,24,10,1966,24/10/1966
9896,I,9896_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,27,34.6,800,251066,25,10,1966,25/10/1966
12710,D,12710_D,Varanus,tristis,Varanus_tristis,UNK,UNK,UNK,35.6,40.4,1615,271066,27,10,1966,27/10/1966
12711,D,12711_D,Varanus,eremius,Varanus_eremius,UNK,UNK,UNK,35.9,40.8,1645,271066,27,10,1966,27/10/1966
12712,D,12712_D,Varanus,eremius,Varanus_eremius,UNK,UNK,UNK,34.2,39.8,1720,271066,27,10,1966,27/10/1966
12718,D,12718_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,28.4,29.4,1850,271066,27,10,1966,27/10/1966
12719,D,12719_D,Diplodactylus,stenodactylus,Diplodactylus_stenodactylus,UNK,UNK,UNK,28.3,29.2,1905,271066,27,10,1966,27/10/1966
12720,D,12720_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,28.5,30.4,1909,271066,27,10,1966,27/10/1966
12721,D,12721_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,28.5,28.6,1911,271066,27,10,1966,27/10/1966
12722,D,12722_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,28.4,27.6,1925,271066,27,10,1966,27/10/1966
12723,D,12723_D,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,29.5,29.9,1837,271066,27,10,1966,27/10/1966
12724,D,12724_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,29.4,29.2,1855,271066,27,10,1966,27/10/1966
12725,D,12725_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,29.3,28.8,1900,271066,27,10,1966,27/10/1966
12726,D,12726_D,Diplodactylus,stenodactylus,Diplodactylus_stenodactylus,UNK,UNK,UNK,29.1,29.9,1902,271066,27,10,1966,27/10/1966
12727,D,12727_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,28.7,27.3,1920,271066,27,10,1966,27/10/1966
12728,D,12728_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,29.1,27.7,1922,271066,27,10,1966,27/10/1966
12729,D,12729_D,Diplodactylus,stenodactylus,Diplodactylus_stenodactylus,UNK,UNK,UNK,29,28.4,1927,271066,27,10,1966,27/10/1966
12730,D,12730_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,28.9,29.5,1932,271066,27,10,1966,27/10/1966
12731,D,12731_D,Diplodactylus,stenodactylus,Diplodactylus_stenodactylus,UNK,UNK,UNK,28.8,28.7,1935,271066,27,10,1966,27/10/1966
12733,D,12733_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,27.6,27.5,1950,271066,27,10,1966,27/10/1966
12734,D,12734_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,26.7,26.7,1954,271066,27,10,1966,27/10/1966
12735,D,12735_D,Diplodactylus,stenodactylus,Diplodactylus_stenodactylus,UNK,UNK,UNK,26.7,26.9,1959,271066,27,10,1966,27/10/1966
12736,D,12736_D,Diplodactylus,stenodactylus,Diplodactylus_stenodactylus,UNK,UNK,UNK,26.8,29.8,2005,271066,27,10,1966,27/10/1966
12737,D,12737_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,28,26.3,2015,271066,27,10,1966,27/10/1966
12738,D,12738_D,Strophurus,strophurus,Strophurus_strophurus,UNK,UNK,UNK,27.5,26.8,2024,271066,27,10,1966,27/10/1966
12739,D,12739_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,27.3,27.1,2026,271066,27,10,1966,27/10/1966
12740,D,12740_D,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,27.2,26.5,2028,271066,27,10,1966,27/10/1966
9897, ,9897_ ,Nephrurus,levis,Nephrurus_levis,UNK,UNK,UNK,32,32,2000,281066,28,10,1966,28/10/1966
9898,I,9898_I,Ctenotus,brooksi,Ctenotus_brooksi,UNK,UNK,UNK,34,36.2,850,291066,29,10,1966,29/10/1966
9900,I,9900_I,Ctenotus,quatt,Ctenotus_quatt,UNK,UNK,UNK,35,36.8,930,291066,29,10,1966,29/10/1966
9901,I,9901_I,Ctenotus,quatt,Ctenotus_quatt,UNK,UNK,UNK,35.2,38.2,938,291066,29,10,1966,29/10/1966
9902,I,9902_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,,,1630,291066,29,10,1966,29/10/1966
9903,I,9903_I,Ctenophorus,reticulatus,Ctenophorus_reticulatus,UNK,UNK,UNK,,,1130,301066,30,10,1966,30/10/1966
9904, ,9904_ ,Diplodactylus,conspicillatus,Diplodactylus_conspicillatus,UNK,UNK,UNK,24.2,,2000,51166,5,11,1966,5/11/1966
9765,I,9765_I,Ctenotus,calurus,Ctenotus_calurus,UNK,UNK,UNK,26.8,36.4,910,61166,6,11,1966,6/11/1966
9766, ,9766_ ,Moloch,horridus,Moloch_horridus,UNK,UNK,UNK,28.6,36.2,955,61166,6,11,1966,6/11/1966
9767, ,9767_ ,Diplodactylus,conspicillatus,Diplodactylus_conspicillatus,UNK,UNK,UNK,28.9,,2015,61166,6,11,1966,6/11/1966
9905,I,9905_I,Ctenotus,dux,Ctenotus_dux,UNK,UNK,UNK,23,32,745,61166,6,11,1966,6/11/1966
9906,I,9906_I,Ctenotus,pantherinus,Ctenotus_pantherinus,UNK,UNK,UNK,22.8,33.1,755,61166,6,11,1966,6/11/1966
9907,I,9907_I,Ctenotus,pantherinus,Ctenotus_pantherinus,UNK,UNK,UNK,24.4,33.4,815,61166,6,11,1966,6/11/1966
9908,I,9908_I,Ctenotus,pantherinus,Ctenotus_pantherinus,UNK,UNK,UNK,24.4,33.2,820,61166,6,11,1966,6/11/1966
9909,I,9909_I,Ctenotus,pantherinus,Ctenotus_pantherinus,UNK,UNK,UNK,25.2,35.6,840,6116,6,11,1966,6/11/1966
9910,I,9910_I,Ctenotus,quatt,Ctenotus_quatt,UNK,UNK,UNK,25.6,33.4,846,61166,6,11,1966,6/11/1966
9769, ,9769_ ,Menetia,greyii,Menetia_greyii,UNK,UNK,UNK,,,820,71166,7,11,1966,7/11/1966
9771,I,9771_I,Morethia,butleri,Morethia_butleri,UNK,UNK,UNK,26.6,26,2015,71166,7,11,1966,7/11/1966
9773,I,9773_I,Ctenophorus,clayi,Ctenophorus_clayi,UNK,UNK,UNK,,31,900,81166,8,11,1966,8/11/1966
9774,I,9774_I,Delma,butleri,Delma_butleri,UNK,UNK,UNK,,,1100,81166,8,11,1966,8/11/1966
9776,I,9776_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,25.6,26.8,1955,81166,8,11,1966,8/11/1966
9777,I,9777_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,25.4,29.2,2000,81166,8,11,1966,8/11/1966
9778,I,9778_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,25.2,24.2,2005,81166,8,11,1966,8/11/1966
9787,I,9787_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,24,,915,151166,15,11,1966,15/11/1966
9790, ,9790_ ,Pogona,minor,Pogona_minor,UNK,UNK,UNK,,,,161166,16,11,1966,16/11/1966
10001,I,10001_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,30,41.4,1500,261166,26,11,1966,26/11/1966
10002,I,10002_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,30,40.6,1605,261166,26,11,1966,26/11/1966
10003,I,10003_I,Ctenophorus,scutulatus,Ctenophorus_scutulatus,UNK,UNK,UNK,28.4,36.6,1635,261166,26,11,1966,26/11/1966
10004,I,10004_I,Ctenophorus,reticulatus,Ctenophorus_reticulatus,UNK,UNK,UNK,24.2,36.4,810,271166,27,11,1966,27/11/1966
10005,I,10005_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,27.4,35.4,855,271166,27,11,1966,27/11/1966
10007,A,10007_A,Moloch,horridus,Moloch_horridus,UNK,UNK,UNK,25.8,35.6,910,271166,27,11,1966,27/11/1966
10008,A,10008_A,Pogona,minor,Pogona_minor,UNK,UNK,UNK,30.8,33.4,1130,271166,27,11,1966,27/11/1966
10009,A,10009_A,Ctenophorus,scutulatus,Ctenophorus_scutulatus,UNK,UNK,UNK,34.6,42.5,1400,271166,27,11,1966,27/11/1966
10010,A,10010_A,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,34.6,36.4,1550,271166,27,11,1966,27/11/1966
10011,A,10011_A,Moloch,horridus,Moloch_horridus,UNK,UNK,UNK,34.8,35.8,1720,271166,27,11,1966,27/11/1966
10012,A,10012_A,Moloch,horridus,Moloch_horridus,UNK,UNK,UNK,32.8,34.7,1810,271166,27,11,1966,27/11/1966
10013,A,10013_A,Varanus,eremius,Varanus_eremius,UNK,UNK,UNK,33,,1820,271166,27,11,1966,27/11/1966
10014,A,10014_A,Ctenophorus,scutulatus,Ctenophorus_scutulatus,UNK,UNK,UNK,31,34.8,805,281166,28,11,1966,28/11/1966
10015,A,10015_A,Ctenotus,schomburgkii,Ctenotus_schomburgkii,UNK,UNK,UNK,32.8,38.8,840,281166,28,11,1966,28/11/1966
10016,A,10016_A,Ctenotus,schomburgkii,Ctenotus_schomburgkii,UNK,UNK,UNK,36,,945,281166,28,11,1966,28/11/1966
10017,A,10017_A,Ctenophorus,scutulatus,Ctenophorus_scutulatus,UNK,UNK,UNK,35.2,39,1005,281166,28,11,1966,28/11/1966
10018,A,10018_A,Ctenotus,leonhardii,Ctenotus_leonhardii,UNK,UNK,UNK,38.4,,1025,281166,28,11,1966,28/11/1966
10019,A,10019_A,Ctenophorus,scutulatus,Ctenophorus_scutulatus,UNK,UNK,UNK,38,,1035,281166,28,11,1966,28/11/1966
10020,A,10020_A,Ctenophorus,scutulatus,Ctenophorus_scutulatus,UNK,UNK,UNK,36.2,40.5,1030,281166,28,11,1966,28/11/1966
10027,I,10027_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,,,1610,291166,29,11,1966,29/11/1966
10028,I,10028_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,32.8,36.6,1620,291166,29,11,1966,29/11/1966
10029,I,10029_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,,36.2,1620,291166,29,11,1966,29/11/1966
10030,I,10030_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,,37.9,1625,291166,29,11,1966,29/11/1966
10031,I,10031_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,,37.9,1625,291166,29,11,1966,29/11/1966
10032,I,10032_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,32.8,37.8,1626,291166,29,11,1966,29/11/1966
10033,I,10033_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,30.7,38,1700,291166,29,11,1966,29/11/1966
10034,I,10034_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,30,37.6,1720,291166,29,11,1966,29/11/1966
10035,I,10035_I,Rhynchoedura,ornata,Rhynchoedura_ornata,UNK,UNK,UNK,,,2100,291166,29,11,1966,29/11/1966
10041,I,10041_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,28.2,39.8,1300,301166,30,11,1966,30/11/1966
10042,I,10042_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,,,,301166,30,11,1966,30/11/1966
10043, ,10043_ ,Pogona,minor,Pogona_minor,UNK,UNK,UNK,27.4,34.4,1445,301166,30,11,1966,30/11/1966
10044,I,10044_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,25.8,36,1455,301166,30,11,1966,30/11/1966
10045,M,10045_M,Ctenophorus,scutulatus,Ctenophorus_scutulatus,UNK,UNK,UNK,29.2,39.4,1525,301166,30,11,1966,30/11/1966
10046,M,10046_M,Moloch,horridus,Moloch_horridus,UNK,UNK,UNK,25.6,33.2,1528,301166,30,11,1966,30/11/1966
10049,I,10049_I,Lophognathus,longirostris,Lophognathus_longirostris,UNK,UNK,UNK,,,1800,301166,30,11,1966,30/11/1966
10050,I,10050_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,,,1800,301166,30,11,1966,30/11/1966
10051,I,10051_I,Lophognathus,longirostris,Lophognathus_longirostris,UNK,UNK,UNK,,,1800,301166,30,11,1966,30/11/1966
10052,I,10052_I,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,21.2,20.8,2005,301166,30,11,1966,30/11/1966
10053, ,10053_ ,Diplodactylus,stenodactylus,Diplodactylus_stenodactylus,UNK,UNK,UNK,21.2,21.2,2010,301166,30,11,1966,30/11/1966
10054,I,10054_I,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,21.2,20.5,2018,301166,30,11,1966,30/11/1966
10055, ,10055_ ,Diplodactylus,stenodactylus,Diplodactylus_stenodactylus,UNK,UNK,UNK,21.2,21.2,2025,301166,30,11,1966,30/11/1966
10056,I,10056_I,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,21.4,19.8,2027,301166,30,11,1966,30/11/1966
10057,I,10057_I,Nephrurus,laevissimus,Nephrurus_laevissimus,UNK,UNK,UNK,21.4,20.2,2030,301166,30,11,1966,30/11/1966
10067, ,10067_ ,Moloch,horridus,Moloch_horridus,UNK,UNK,UNK,24.8,34.4,1600,11266,1,12,1966,1/12/1966
10076,M,10076_M,Ctenotus,pantherinus,Ctenotus_pantherinus,UNK,UNK,UNK,24.5,,1050,21266,2,12,1966,2/12/1966
10077,I,10077_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,27.6,37.8,1405,21266,2,12,1966,2/12/1966
10078,I,10078_I,Ctenotus,leonhardii,Ctenotus_leonhardii,UNK,UNK,UNK,27.2,38.4,1504,21266,2,12,1966,2/12/1966
10079, ,10079_ ,Strophurus,ciliaris,Strophurus_ciliaris,UNK,UNK,UNK,21.4,21,1945,21266,2,12,1966,2/12/1966
10080,I,10080_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,28.8,,1255,31266,3,12,1966,3/12/1966
10081,I,10081_I,Ctenophorus,reticulatus,Ctenophorus_reticulatus,UNK,UNK,UNK,27.2,,1315,31266,3,12,1966,3/12/1966
10082,I,10082_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,28.4,28.8,1945,31266,3,12,1966,3/12/1966
10083,I,10083_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,28.3,29,1955,31266,3,12,1966,3/12/1966
10084,I,10084_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,28.2,29.8,2005,31266,3,12,1966,3/12/1966
10085,I,10085_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,31,42.6,930,41266,4,12,1966,4/12/1966
10088,A,10088_A,Ctenophorus,scutulatus,Ctenophorus_scutulatus,UNK,UNK,UNK,28.6,40.1,920,51266,5,12,1966,5/12/1966
10091,A,10091_A,Ctenotus,leonhardii,Ctenotus_leonhardii,UNK,UNK,UNK,30.2,36.9,1027,51266,5,12,1966,5/12/1966
10092,A,10092_A,Ctenophorus,scutulatus,Ctenophorus_scutulatus,UNK,UNK,UNK,32,39.9,1034,51266,5,12,1966,5/12/1966
10093,A,10093_A,Ctenophorus,scutulatus,Ctenophorus_scutulatus,UNK,UNK,UNK,33.6,41,1250,51266,5,12,1966,5/12/1966
10094,A,10094_A,Ctenotus,leonhardii,Ctenotus_leonhardii,UNK,UNK,UNK,34,,1300,51266,5,12,1966,5/12/1966
10095,A,10095_A,Ctenophorus,scutulatus,Ctenophorus_scutulatus,UNK,UNK,UNK,33,36.5,1305,51266,5,12,1966,5/12/1966
10096,A,10096_A,Ctenophorus,scutulatus,Ctenophorus_scutulatus,UNK,UNK,UNK,31.6,38.6,1645,51266,5,12,1966,5/12/1966
10097,A,10097_A,Liopholis,inornata,Liopholis_inornata,UNK,UNK,UNK,,34.4,1730,51266,5,12,1966,5/12/1966
10098,A,10098_A,Rhynchoedura,ornata,Rhynchoedura_ornata,UNK,UNK,UNK,23.6,26,2010,51266,5,12,1966,5/12/1966
10099,A,10099_A,Pogona,minor,Pogona_minor,UNK,UNK,UNK,23.5,,2030,51266,5,12,1966,5/12/1966
10100,A,10100_A,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,29,35.2,920,61266,6,12,1966,6/12/1966
10101,A,10101_A,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,35.6,38.4,1200,61266,6,12,1966,6/12/1966
10102,A,10102_A,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,33,37.2,1205,61266,6,12,1966,6/12/1966
10103,A,10103_A,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,34.2,39,1345,61266,6,12,1966,6/12/1966
10104,A,10104_A,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,34.2,37.4,1347,61266,6,12,1966,6/12/1966
10105,I,10105_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,32.4,36.8,1545,61266,6,12,1966,6/12/1966
10108,I,10108_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,28.6,39.4,905,71266,7,12,1966,7/12/1966
10109,I,10109_I,Ctenophorus,reticulatus,Ctenophorus_reticulatus,UNK,UNK,UNK,31,34.4,920,71266,7,12,1966,7/12/1966
10110,I,10110_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,33.4,40.2,930,71266,7,12,1966,7/12/1966
10111,I,10111_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,31.4,,935,71266,7,12,1966,7/12/1966
10112,I,10112_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,31.4,39.5,940,71266,7,12,1966,7/12/1966
10113,I,10113_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,32.2,38.4,950,71266,7,12,1966,7/12/1966
10114,I,10114_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,33,,1015,71266,7,12,1966,7/12/1966
10115,I,10115_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,33,,1035,71266,7,12,1966,7/12/1966
10116,I,10116_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,33,39.8,1055,71266,7,12,1966,7/12/1966
10117,I,10117_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,33,35.8,1055,71266,7,12,1966,7/12/1966
10118,I,10118_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,33.6,37.8,1120,71266,7,12,1966,7/12/1966
10119,A,10119_A,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,34.6,37.8,1130,71266,7,12,1966,7/12/1966
10120,A,10120_A,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,33.6,39.4,1145,71266,7,12,1966,7/12/1966
10121,A,10121_A,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,35.4,40.6,1150,71266,7,12,1966,7/12/1966
10122,A,10122_A,Varanus,caudolineatus,Varanus_caudolineatus,UNK,UNK,UNK,35,,1220,71266,7,12,1966,7/12/1966
10123,A,10123_A,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,34.2,37.6,1325,71266,7,12,1966,7/12/1966
10124,A,10124_A,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,34,36.4,1500,71266,7,12,1966,7/12/1966
10125,A,10125_A,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,36,36.8,1505,71266,7,12,1966,7/12/1966
10126,A,10126_A,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,34.2,38.4,1605,71266,7,12,1966,7/12/1966
10127,I,10127_I,Ctenophorus,reticulatus,Ctenophorus_reticulatus,UNK,UNK,UNK,36,36,1630,71266,7,12,1966,7/12/1966
10128,A,10128_A,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,35.4,38.2,1645,71266,7,12,1966,7/12/1966
