Area,Number,Genus,Species,Genus_species,Ovarian,Oviductal,CS,Cvol,Wt,SVL,RCM
R,25523,Ctenotus,nasutus,Ctenotus_nasutus,,1/1 x 0.15,2,0.3,1.5,44,0.2
R,25551,Ctenotus,nasutus,Ctenotus_nasutus,,1/1 x 0.2,2,0.4,1.4,44,0.286
B,27669,Ctenotus,nasutus,Ctenotus_nasutus,,1/1 x 0.2,2,0.4,1.4,45,0.286
R,27938,Ctenotus,nasutus,Ctenotus_nasutus,,1/1 x 0.2,2,0.4,1.5,44,0.267
R,28137,Ctenotus,nasutus,Ctenotus_nasutus,,1/1 x 0.2,2,0.4,1.7,46,0.235
R,28139,Ctenotus,nasutus,Ctenotus_nasutus,,1/0 x 0.3,1,0.3,1.6,46,0.188
R,28150,Ctenotus,nasutus,Ctenotus_nasutus,,1/0 x 0.2,1,0.2,1.4,45,0.138
R,28228,Ctenotus,nasutus,Ctenotus_nasutus,,1/1 x 0.2,2,0.4,1.2,42,0.32
R,28249,Ctenotus,nasutus,Ctenotus_nasutus,,1/1 x 0.2,2,0.4,1.5,44,0.267
R,28317,Ctenotus,nasutus,Ctenotus_nasutus,,1/1 x 0.175,2,0.35,1.4,44,0.241
L,2390,Ctenotus,pantherinus,Ctenotus_pantherinus,,3/3 x 17.0,6,2.1,13.5,88,0.156
R,1165,Ctenotus,pantherinus,Ctenotus_pantherinus,1/1 x 9.0,,2,,19.4,95,
R,1956,Ctenotus,pantherinus,Ctenotus_pantherinus,,2/2 x 20,4,1.81,14.8,93,0.122
R,2500,Ctenotus,pantherinus,Ctenotus_pantherinus,,4/2 x 19,6,3.3,15,90,0.22
R,2557,Ctenotus,pantherinus,Ctenotus_pantherinus,2/4 x 6.0,,6,,16,93,
R,3226,Ctenotus,pantherinus,Ctenotus_pantherinus,1/3 x 5.0,,4,,22.2,97,
R,3249,Ctenotus,pantherinus,Ctenotus_pantherinus,,3/1 x 14.0,4,2.14,17.7,92,0.121
I,9880,Ctenotus,pantherinus,Ctenotus_pantherinus,2/1 x 10.0,,3,,,92,
I,9908,Ctenotus,pantherinus,Ctenotus_pantherinus,2/2 x 5.0,,4,,,85,
G,10294,Ctenotus,pantherinus,Ctenotus_pantherinus,,4/3 x 14.5,7,2.7,20.9,96,0.129
G,10301,Ctenotus,pantherinus,Ctenotus_pantherinus,,4/2 x 19.0,6,3.8,20.8,95,0.183
G,10314,Ctenotus,pantherinus,Ctenotus_pantherinus,,4/3 x 14.5,7,2.75,17.8,93,0.155
G,10339,Ctenotus,pantherinus,Ctenotus_pantherinus,,4/3 x 16.0,7,3.6,16.1,91,0.224
G,10417,Ctenotus,pantherinus,Ctenotus_pantherinus,,5/3 x 17.0,8,4.5,22.7,96,0.198
A,10524,Ctenotus,pantherinus,Ctenotus_pantherinus,5/4 x 8.0,,9,,22.5,99,
G,12977,Ctenotus,pantherinus,Ctenotus_pantherinus,4/3 x 3.0,,7,,15.2,87,
M,13371,Ctenotus,pantherinus,Ctenotus_pantherinus,2/2 x 3.0,,4,,12.5,83,
M,13342,Ctenotus,pantherinus,Ctenotus_pantherinus,,2/3 x 12.0,5,3.3,23.7,98,0.139
L,24288,Ctenotus,pantherinus,Ctenotus_pantherinus,1/2 X 4,,3,,9.8,75,
R,24456,Ctenotus,pantherinus,Ctenotus_pantherinus,,3/3 x 0.6,6,3.7,15.8,91,0.234177215
L,25876,Ctenotus,pantherinus,Ctenotus_pantherinus,3/2 x 3.5,,5,,16.9,88,
L,26097,Ctenotus,pantherinus,Ctenotus_pantherinus,3/2 x 3,,5,,14.5,85,
L,26181,Ctenotus,pantherinus,Ctenotus_pantherinus,4/3 X 6,,7,,18.6,80,
B,26974,Ctenotus,pantherinus,Ctenotus_pantherinus,2/2 x 6,,4,,12.8,80,
B,26974,Ctenotus,pantherinus,Ctenotus_pantherinus,3/2 x 4mm,,5,,12.8,80,
B,2401,Ctenotus,pantherinus,Ctenotus_pantherinus,2/4 x 3-5,,6,,11.2,84,
B,2407,Ctenotus,pantherinus,Ctenotus_pantherinus,2/3 x 4-6,,5,,11.4,86,
B,2495,Ctenotus,pantherinus,Ctenotus_pantherinus,3/2 x 13-15,,5,2.3,14.8,87,
B,28730,Ctenotus,pantherinus,Ctenotus_pantherinus,3/2 x,,5,1.5,15,84,0.1
B,28832,Ctenotus,pantherinus,Ctenotus_pantherinus,4/1 x 4,,5,,13.7,84,
B,29130,Ctenotus,pantherinus,Ctenotus_pantherinus,3/3 x 15-16,,6,3,13.4,89,0.223880597
L,27825,Ctenotus,pantherinus,Ctenotus_pantherinus,4/3 x,,7,3.3,17.25,98,0.191304348
B,32305,Ctenotus,pantherinus,Ctenotus_pantherinus,3/2 x 5,,5,,12.1,83,
B,33941,Ctenotus,pantherinus,Ctenotus_pantherinus,1/1 x 3,,2,,10.4,75,
B,33989,Ctenotus,pantherinus,Ctenotus_pantherinus,3/2 x 3-6,,5,,12.6,80,
B,34125,Ctenotus,pantherinus,Ctenotus_pantherinus,2/2 x 4-5,,4,,13.3,88,
R,23864,Ctenotus,piankai,Ctenotus_piankai,,,1,,2.2,53,
R,23117,Ctenotus,piankai,Ctenotus_piankai,1/1 x 4,,2,,2,48,
R,23435,Ctenotus,piankai,Ctenotus_piankai,,1/1 x 0.2,2,0.4,2.4,48,0.167
R,23435,Ctenotus,piankai,Ctenotus_piankai,,1/1 x 0.2,2,0.6,2.4,48,0.25
R,23507,Ctenotus,piankai,Ctenotus_piankai,2/1 x 2.75,,3,,2.9,54,
R,27373,Ctenotus,piankai,Ctenotus_piankai,2/1 x 6,,3,,3.5,56,
B,27434,Ctenotus,piankai,Ctenotus_piankai,1/2 x 5,,3,,2.9,53,
R,27512,Ctenotus,piankai,Ctenotus_piankai,1/2 x 3,,3,,2.8,53,
B,27575,Ctenotus,piankai,Ctenotus_piankai,2/1 x 4,,3,,3.1,53,
B,27611,Ctenotus,piankai,Ctenotus_piankai,2/0 x 5,,2,,2.1,50,
L,27838,Ctenotus,piankai,Ctenotus_piankai,2/1 x 3,,3,,2.5,53,
R,27976,Ctenotus,piankai,Ctenotus_piankai,2/1 x 7,,3,,2.5,51,
B,28162,Ctenotus,piankai,Ctenotus_piankai,1/1 x 5,,2,,2.4,53,
B,28162,Ctenotus,piankai,Ctenotus_piankai,2/1 x 3,,3,,2.4,53,
R,28303,Ctenotus,piankai,Ctenotus_piankai,1/1 x 5,,2,,2.5,53,
R,28303,Ctenotus,piankai,Ctenotus_piankai,1/2 x 3,,3,,2.5,53,
B,28326,Ctenotus,piankai,Ctenotus_piankai,1/2 x 5,,3,,2.7,55,
R,28356,Ctenotus,piankai,Ctenotus_piankai,2 x 3mm,,2,,2.5,53,
R,29245,Ctenotus,piankai,Ctenotus_piankai,1/1 x 3,,2,,2.9,53,
R,30056,Ctenotus,piankai,Ctenotus_piankai,1/2 x 4-5,,3,,2.5,50,
R,30146,Ctenotus,piankai,Ctenotus_piankai,1/1 x 5,,2,,2.4,50,
R,30215,Ctenotus,piankai,Ctenotus_piankai,1/1 x 4,,2,,2.2,53,
R,30373,Ctenotus,piankai,Ctenotus_piankai,,2/1 x Ovid,3,0.8,2.9,55,0.276
R,1071,Ctenotus,quatt,Ctenotus_quatt,2/2 x 3.0,,4,,7.4,71,
R,1085,Ctenotus,quatt,Ctenotus_quatt,1/2 x 2.5,,3,,5.4,67,
R,1102,Ctenotus,quatt,Ctenotus_quatt,3/2 x 2.0,,5,,6.5,66,
R,1114,Ctenotus,quatt,Ctenotus_quatt,,1/2 x 5.0,3,0.22,6.7,66,0.032835821
R,1125,Ctenotus,quatt,Ctenotus_quatt,0/2 x 3.5,,2,,5.7,67,
B,2111,Ctenotus,quatt,Ctenotus_quatt,2/1 x 4,,3,,6.4,67,
R,2315,Ctenotus,quatt,Ctenotus_quatt,3/3 x 2.0,,6,,4.9,65,
L,2205,Ctenotus,quatt,Ctenotus_quatt,,2/1 x 6.5,3,0.21,5.4,64,0.038888889
L,3084,Ctenotus,quatt,Ctenotus_quatt,3/2 x 3.0,,5,,7.8,69,
B,27315,Ctenotus,quatt,Ctenotus_quatt,2/3 x 4,,5,,9.2,71,
B,27746,Ctenotus,quatt,Ctenotus_quatt,2/0 x 7,,2,,5.4,66,
B,27999,Ctenotus,quatt,Ctenotus_quatt,2/1 x 5,,3,,7.9,69,
R,28227,Ctenotus,quatt,Ctenotus_quatt,,1/1 x 0.6,2,1.2,5.9,70,0.203389831
B,32045,Ctenotus,quatt,Ctenotus_quatt,2/1 x 4-5,,3,,7.1,64,
B,32089,Ctenotus,quatt,Ctenotus_quatt,2/1 x 4,,3,,7.2,68,
B,32165,Ctenotus,quatt,Ctenotus_quatt,2/2 x 5-6,,4,,8,69,
B,32430,Ctenotus,quatt,Ctenotus_quatt,1/2 x 4-5,,3,,5.5,64,
B,32940,Ctenotus,quatt,Ctenotus_quatt,2/1 x 3,,3,,6,66,
B,33454,Ctenotus,quatt,Ctenotus_quatt,2/2 x 4-6,,4,,7.7,68,
B,33828,Ctenotus,quatt,Ctenotus_quatt,2/2 x 5,,4,,7.7,69,
B,33886,Ctenotus,quatt,Ctenotus_quatt,1/1 x 8-9,,2,,6.8,65,
B,33914,Ctenotus,quatt,Ctenotus_quatt,1/2 x 5-7,,3,,6.2,63,
A,10089,Ctenotus,schomburgkii,Ctenotus_schomburgkii,1/1 x 2.0,,2,,,,
I,10291,Ctenotus,schomburgkii,Ctenotus_schomburgkii,0/2 x 2.0,,2,,,43,
A,10558,Ctenotus,schomburgkii,Ctenotus_schomburgkii,,2/2 x 7.0,4,0.6,2.5,50,0.24
A,12544,Ctenotus,schomburgkii,Ctenotus_schomburgkii,1/2 x 2.0,,3,,3,54,
A,13241,Ctenotus,schomburgkii,Ctenotus_schomburgkii,1/2 x 2.5,,3,,2.5,51,
I,13565,Ctenotus,schomburgkii,Ctenotus_schomburgkii,2/2 x 2.0,,2,,2,52,
L,25942,Ctenotus,schomburgkii,Ctenotus_schomburgkii,,,2,,2.3,51,
L,27684,Ctenotus,schomburgkii,Ctenotus_schomburgkii,1/1 x 4,,2,,1.9,46,
L,27710,Ctenotus,schomburgkii,Ctenotus_schomburgkii,1/1 x 6,,2,,2.5,53,
L,27727,Ctenotus,schomburgkii,Ctenotus_schomburgkii,1 x8mm,,1,,1.5,42,
E,12276,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,1.6,14,83,0.114
M,12611,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,1.4,10.5,85,0.133
M,12640,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,0.8,10.5,75,0.076
M,12667,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,1.4,10.2,78,0.137
M,12677,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,1.3,9,75,0.144
M,12679,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,0.6,10,82,0.06
E,12871,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,0.8,9.5,83,0.084
M,13352,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,0.6,8,76,0.075
I,13484,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,1.1,8.7,79,0.126
I,13523,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,1,7.2,75,0.139
I,13525,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,1.02,7.3,80,0.14
I,13528,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,1.2,8.3,75,0.145
I,13529,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,1.1,9.5,80,0.116
I,13576,Diplodactylus,ciliaris,Diplodactylus_ciliaris,,,2,0.8,6.3,77,0.127
E,12920,Diplodactylus,conspicillatus,Diplodactylus_conspicillatus,,,2,1.3,5.5,,0.236
E,13125,Diplodactylus,conspicillatus,Diplodactylus_conspicillatus,,,2,1.3,5,,0.26
M,13322,Diplodactylus,conspicillatus,Diplodactylus_conspicillatus,,,2,1,6,,0.167
M,13330,Diplodactylus,conspicillatus,Diplodactylus_conspicillatus,,,2,1.2,6,,0.2
M,13350,Diplodactylus,conspicillatus,Diplodactylus_conspicillatus,,,2,1.17,6.5,,0.18
M,13358,Diplodactylus,conspicillatus,Diplodactylus_conspicillatus,,,2,0.8,5,,0.16
D,13414,Diplodactylus,conspicillatus,Diplodactylus_conspicillatus,,,2,1.2,6.7,,0.179
D,13428,Diplodactylus,conspicillatus,Diplodactylus_conspicillatus,,,2,1.5,7,,0.214
G,12991,Diplodactylus,conspicillatus,Diplodactylus_conspicillatus,,,2,0.8,6.5,,0.123
A,10596,Diplodactylus,elderi,Diplodactylus_elderi,,,2,0.35,2.5,,0.14
A,12560,Diplodactylus,elderi,Diplodactylus_elderi,,,2,0.5,3.2,,0.156
A,12561,Diplodactylus,elderi,Diplodactylus_elderi,,,2,0.4,3,,0.133
,10285,Diplodactylus,pulcher,Diplodactylus_pulcher,,,1,0.41,4,,0.103
A,13210,Diplodactylus,pulcher,Diplodactylus_pulcher,,,1,0.7,4,,0.175
A,13220,Diplodactylus,pulcher,Diplodactylus_pulcher,,,2,1.1,5.2,,0.212
A,13486,Diplodactylus,pulcher,Diplodactylus_pulcher,,,2,0.6,4,,0.15
A,13575,Diplodactylus,pulcher,Diplodactylus_pulcher,,,2,0.45,4.8,,0.094
A,12490,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,1.3,10,78,0.13
A,12534,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,1.2,11,77,0.109
A,12540,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,0.95,9.7,73,0.098
S,12588,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,0.6,7,69,0.086
S,12591,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,0.8,8.5,72,0.094
D,12693,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,0.75,6,69,0.125
D,12738,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,1,7,70,0.143
A,12750,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,1.4,9.2,75,0.152
A,12758,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,0.85,10,78,0.085
A,13225,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,0.9,5.7,70,0.158
A,13227,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,0.87,6.2,75,0.14
A,13230,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,0.95,6.3,70,0.151
A,13284,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,1.2,8.2,76,0.146
A,13287,Diplodactylus,strophurus,Diplodactylus_strophurus,,,2,0.65,7.7,77,0.084
D,13406,Diplodactyus,stenodactylus,Diplodactyus_stenodactylus,,,2,0.4,3.2,,0.125
D,13407,Diplodactyus,stenodactylus,Diplodactyus_stenodactylus,,,2,0.45,4,,0.113
D,13417,Diplodactyus,stenodactylus,Diplodactyus_stenodactylus,,,2,0.33,4.7,,0.07
E,12166,Diporiphora,winneckei,Diporiphora_winneckei,1/1 x 2.5mm,,2,,,,
E,12248,Diporiphora,winneckei,Diporiphora_winneckei,0/2 x 4mm,,2,,,,
E,12895,Diporiphora,winneckei,Diporiphora_winneckei,,1/1 x 13mm,2,0.8,4,,0.2
E,12896,Diporiphora,winneckei,Diporiphora_winneckei,,1/1 x 18mm,2,1.15,5,,0.23
D,13436,Diporiphora,winneckei,Diporiphora_winneckei,2/1 x 3.5mm,,3,,,,
R,1212,Egernia,inornata,Egernia_inornata,2/1 x 11mm,,3,,,,
R,1234,Egernia,inornata,Egernia_inornata,1/1 x 11mm,,2,,,,
R,1237,Egernia,inornata,Egernia_inornata,1/1 x 10-11mm,,2,,,,
L,1372,Egernia,inornata,Egernia_inornata,2/1 x 10mm,,3,,,,
R,1449,Egernia,inornata,Egernia_inornata,1/1 x 12mm,,2,,,,
R,1783,Egernia,inornata,Egernia_inornata,,1/0 x 14mm,1,0.7,13.1,,0.053435115
R,1796,Egernia,inornata,Egernia_inornata,,2/1 x 16mm,3,2.5,13.6,,0.183823529
R,1821,Egernia,inornata,Egernia_inornata,,2/1 x 15mm,3,3,14.5,,0.206896552
R,1853,Egernia,inornata,Egernia_inornata,,2/1 x 14-17mm,3,3.1,16.3,,0.190184049
R,1915,Egernia,inornata,Egernia_inornata,,0/1 x 15mm,1,1,11.8,,0.084745763
R,1930,Egernia,inornata,Egernia_inornata,,1/1 x 15-18mm,2,2.5,10,,0.25
R,1955,Egernia,inornata,Egernia_inornata,,1/1 x 16-19mm,2,1.3,10.3,,0.126213592
R,2006,Egernia,inornata,Egernia_inornata,,3/0 x 15-16mm,3,2.1,11.2,,0.1875
R,3616,Egernia,inornata,Egernia_inornata,,1/1 x 13-17mm,2,1.1,15.4,,0.071428571
R,3618,Egernia,inornata,Egernia_inornata,,1/1 x 15-17mm,2,1.55,13.5,,0.114814815
R,3695,Egernia,inornata,Egernia_inornata,,1/1 x 12mm,2,1.1,12.8,,0.0859375
R,3827,Egernia,inornata,Egernia_inornata,,1/0 x 22mm,1,1.3,12,,0.108333333
R,3875,Egernia,inornata,Egernia_inornata,,1/1 x 17-19mm,2,2.4,16.4,,0.146341463
R,4025,Egernia,inornata,Egernia_inornata,,1/1 x 17-18mm,2,2.6,14.6,,0.178082192
R,4044,Egernia,inornata,Egernia_inornata,,1/0 x 18mm,1,1.3,12.8,,0.1015625
G,10397,Egernia,inornata,Egernia_inornata,,1/0 x 11mm,1,,,,
G,10405,Egernia,inornata,Egernia_inornata,0/1 x 7mm,,1,,,,
E,12208,Egernia,inornata,Egernia_inornata,1/1 x 3mm,,2,,,,
E,12257,Egernia,inornata,Egernia_inornata,2/1 x 8mm,,3,,,,
Y,12443,Egernia,inornata,Egernia_inornata,1/1 x 9.5mm,,2,,,,
Y,11144,Egernia,inornata,Egernia_inornata,,1/1 x 20mm,2,2,18,,0.111
Y,11237,Egernia,inornata,Egernia_inornata,,1/1 x 18mm,2,2.25,14.5,,0.155
Y,11238,Egernia,inornata,Egernia_inornata,,1/1 x 19mm,2,2,13.2,,0.152
A,12496,Egernia,inornata,Egernia_inornata,,2/1 x 12mm,3,1.25,11.5,,0.109
G,13055,Egernia,inornata,Egernia_inornata,,1/1 x 14mm,2,1.25,13.2,,0.095
G,13058,Egernia,inornata,Egernia_inornata,,1/0 x 18mm,1,1,10,,0.1
M,10176,Egernia,striata,Egernia_striata,,,3,4.25,38,,0.112
M,10185,Egernia,striata,Egernia_striata,,,3,2.63,36,,0.073
G,10308,Egernia,striata,Egernia_striata,,,2,3.5,36,,0.097
G,10330,Egernia,striata,Egernia_striata,,,1,1.5,21.2,,0.071
M,12597,Egernia,striata,Egernia_striata,,,4,2.5,28.5,,0.088
M,12598,Egernia,striata,Egernia_striata,,,4,2.6,29,,0.09
M,12619,Egernia,striata,Egernia_striata,,,4,2.7,33.7,,0.08
M,12631,Egernia,striata,Egernia_striata,,,3,1.8,23.7,,0.076
G,12986,Egernia,striata,Egernia_striata,,,3,2.55,26.2,,0.097
G,13026,Egernia,striata,Egernia_striata,,,2,2,26,,0.077
L,12469,Gehyra,variegata,Gehyra_variegata,,,1,0.19,3.7,58,0.051
L,12474,Gehyra,variegata,Gehyra_variegata,,,1,0.2,4.7,55,0.043
L,12477,Gehyra,variegata,Gehyra_variegata,,,1,0.2,6,60,0.033
L,12482,Gehyra,variegata,Gehyra_variegata,,,1,0.28,4.7,57,0.06
L,12835,Gehyra,variegata,Gehyra_variegata,,,1,0.3,5,57,0.06
L,12840,Gehyra,variegata,Gehyra_variegata,,,1,0.2,4,53,0.05
E,12858,Gehyra,variegata,Gehyra_variegata,,,1,0.2,5,57,0.04
G,12348,Gehyra,variegata,Gehyra_variegata,,,1,0.19,4.5,57,0.042
G,12350,Gehyra,variegata,Gehyra_variegata,,,1,0.19,4.2,60,0.045
G,12950,Gehyra,variegata,Gehyra_variegata,,,1,0.2,4.5,55,0.044
G,12953,Gehyra,variegata,Gehyra_variegata,,,1,0.2,4.2,55,0.048
G,12956,Gehyra,variegata,Gehyra_variegata,,,1,0.2,4.7,57,0.043
G,12957,Gehyra,variegata,Gehyra_variegata,,,1,0.2,5,57,0.04
G,13015,Gehyra,variegata,Gehyra_variegata,,,1,0.19,4,55,0.048
G,13063,Gehyra,variegata,Gehyra_variegata,,,1,0.2,5.7,60,0.035
G,13068,Gehyra,variegata,Gehyra_variegata,,,1,0.28,6,59,0.047
G,13072,Gehyra,variegata,Gehyra_variegata,,,1,0.2,5,57,0.04
E,12912,Gehyra,variegata,Gehyra_variegata,,,1,0.19,3.5,52,0.054
A,13207,Gehyra,variegata,Gehyra_variegata,,,1,0.2,2.5,48,0.08
A,12754,Gehyra,variegata,Gehyra_variegata,,,1,0.15,3,45,0.05
A,12770,Gehyra,variegata,Gehyra_variegata,,,1,0.18,3.2,48,0.056
A,12793,Gehyra,variegata,Gehyra_variegata,,,1,0.19,3,46,0.063
I,13516,Gehyra,variegata,Gehyra_variegata,,,1,0.19,2.2,46,0.086
I,13658,Gehyra,variegata,Gehyra_variegata,,,1,0.2,2.2,45,0.091
A,12572,Gehyra,variegata,Gehyra_variegata,,,1,0.1,3.5,45,0.029
M,12603,Gehyra,variegata,Gehyra_variegata,,,1,0.1,2.2,45,0.045
A,12744,Gehyra,variegata,Gehyra_variegata,,,1,0.19,2.7,46,0.07
G,12402,Gehyra,variegata,Gehyra_variegata,,,1,0.2,4.5,58,0.044
L,12467,Gehyra,variegata,Gehyra_variegata,,,1,0.19,4,56,0.048
A,12755,Heteronotia,binoei,Heteronotia_binoei,,,2,0.3,2.5,,0.12
A,13219,Heteronotia,binoei,Heteronotia_binoei,,,2,0.34,3.5,,0.097
I,13677,Heteronotia,binoei,Heteronotia_binoei,,,2,0.2,2.5,,0.08
R,795,Moloch,horridus,Moloch_horridus,3/2 x 9-10mm,,5,,,,
R,875,Moloch,horridus,Moloch_horridus,3/4 x 3-7mm,,7,,,,
R,882,Moloch,horridus,Moloch_horridus,5/3 x 9-13mm,,8,,,,
R,944,Moloch,horridus,Moloch_horridus,,3/4 x 18-30mm,7,8.5,64,,0.1328125
R,957,Moloch,horridus,Moloch_horridus,,5/3 x 17-25mm,8,8.5,60,,0.141666667
R,958,Moloch,horridus,Moloch_horridus,,3/3 x 15-16mm,6,8,56,,0.142857143
R,959,Moloch,horridus,Moloch_horridus,6/0 x 3-6mm,,6,,,,
R,1080,Moloch,horridus,Moloch_horridus,6/4 x 3-6mm,,10,,,,
R,1113,Moloch,horridus,Moloch_horridus,4/4 x 3mm,,8,,,,
R,1185,Moloch,horridus,Moloch_horridus,6/1 x 3-5mm,,7,,,,
R,1186,Moloch,horridus,Moloch_horridus,3/3 x 8mm,,6,,,,
R,1214,Moloch,horridus,Moloch_horridus,2/4 x 8-10mm,,6,,,,
R,1571,Moloch,horridus,Moloch_horridus,,2/3 x 18-19mm,5,7,49.8,,0.140562249
R,1573,Moloch,horridus,Moloch_horridus,,4/4 x 17-22mm,8,8.5,55.2,,0.153985507
R,1578,Moloch,horridus,Moloch_horridus,,3/3 x 20mm,6,9,62,,0.14516129
R,1590,Moloch,horridus,Moloch_horridus,2/4 x 12-14mm,,6,,,,
R,1788,Moloch,horridus,Moloch_horridus,2/2 x 3-4mm,,4,,,,
R,1798,Moloch,horridus,Moloch_horridus,,4/5 x 13-22mm,9,8.5,54.7,,0.155393053
R,1799,Moloch,horridus,Moloch_horridus,2/3 x 3-7mm,,5,,,,
R,1820,Moloch,horridus,Moloch_horridus,2/1 x 6-7mm,,3,,,,
R,1850,Moloch,horridus,Moloch_horridus,,4/4 x 20-25mm,8,8,59.8,,0.133779264
R,1864,Moloch,horridus,Moloch_horridus,,5/4 x 17-20mm,9,14,52.2,,0.268199234
R,1887,Moloch,horridus,Moloch_horridus,,3/2 x 18-20mm,5,3.5,41.6,,0.084134615
R,1890,Moloch,horridus,Moloch_horridus,,2/2 x 20-26mm,4,4.1,32.7,,0.125382263
R,1892,Moloch,horridus,Moloch_horridus,,5/5 x 10-21mm,8,10.5,60,,0.175
R,1920,Moloch,horridus,Moloch_horridus,,3/3 x 19-20mm,6,6,48.5,,0.12371134
R,1921,Moloch,horridus,Moloch_horridus,,5/6 x 19-22mm,11,11.6,72.1,,0.160887656
R,2000,Moloch,horridus,Moloch_horridus,2/3 x 6-10mm,,5,,,,
R,2001,Moloch,horridus,Moloch_horridus,,2/4 x 17-20mm,6,5.8,54,,0.107407407
R,2002,Moloch,horridus,Moloch_horridus,,2/2 x 10-27mm,4,7,43.5,,0.16091954
R,2007,Moloch,horridus,Moloch_horridus,1/3 x 5mm,,4,,,,
R,3625,Moloch,horridus,Moloch_horridus,3/2 x 3mm,,5,,,,
L,1708,Moloch,horridus,Moloch_horridus,,4/2 x 15-20mm,6,6.5,55,,0.118181818
I,1828,Moloch,horridus,Moloch_horridus,,4/5 x 19-25mm,9,16.5,74.9,,0.220293725
E,1832,Moloch,horridus,Moloch_horridus,3/3 x 10-11mm,,6,,,,
E,1835,Moloch,horridus,Moloch_horridus,,2/3 x 20-21mm,5,7,40.5,,0.172839506
M,10046,Moloch,horridus,Moloch_horridus,,,6,10.55,69,100,0.153
,10067,Moloch,horridus,Moloch_horridus,,,5,12,65,92,0.185
D,11781,Moloch,horridus,Moloch_horridus,,,6,7.6,76.5,109,0.099
D,11896,Moloch,horridus,Moloch_horridus,,,8,10.95,69,100,0.159
L,12041,Moloch,horridus,Moloch_horridus,,,7,11.75,88.5,97,0.133
E,12128,Moloch,horridus,Moloch_horridus,,,9,13.5,72,97,0.188
E,12172,Moloch,horridus,Moloch_horridus,,,8,12,65,90,0.185
E,12173,Moloch,horridus,Moloch_horridus,,,8,6,48.5,89,0.124
E,12174,Moloch,horridus,Moloch_horridus,,,5,5.65,43.5,86,0.13
E,12265,Moloch,horridus,Moloch_horridus,,,7,7.55,52,86,0.145
E,12310,Moloch,horridus,Moloch_horridus,,,10,15.25,63.7,93,0.239
I,12488,Moloch,horridus,Moloch_horridus,,,8,13.1,70,103,0.187
I,12489,Moloch,horridus,Moloch_horridus,,,5,7.75,50.2,91,0.154
D,12706,Moloch,horridus,Moloch_horridus,,,3,4.5,33,86,0.136
I,13175,Moloch,horridus,Moloch_horridus,,,7,12.5,88.7,106,0.141
L,22815,Moloch,horridus,Moloch_horridus,,6/5 x 23-24mm,11,24.5,95.2,,0.257352941
R,22857,Moloch,horridus,Moloch_horridus,,3/2 x 26mm,5,11,49.5,,0.222222222
R,22907,Moloch,horridus,Moloch_horridus,,3/4 x16-17mm,7,7,48.6,,0.144032922
R,23025,Moloch,horridus,Moloch_horridus,3/3 x 12mm,,6,,,,
R,23052,Moloch,horridus,Moloch_horridus,3/4 x 10mm,,7,,,,
D,11888,Nephrurus,laevissimus,Nephrurus_laevissimus,,,2,1.78,12.5,,0.142
E,12863,Nephrurus,laevissimus,Nephrurus_laevissimus,,,2,2.15,13.5,,0.159
E,13170,Nephrurus,laevissimus,Nephrurus_laevissimus,,,2,1.5,17.5,,0.086
D,13408,Nephrurus,laevissimus,Nephrurus_laevissimus,,,2,2.75,14.7,,0.187
D,13419,Nephrurus,laevissimus,Nephrurus_laevissimus,,,2,2.33,15,,0.155
D,13448,Nephrurus,laevissimus,Nephrurus_laevissimus,,,2,2.58,14.2,,0.182
D,13449,Nephrurus,laevissimus,Nephrurus_laevissimus,,,2,2,11,,0.182
N,13083,Nephrurus,levis,Nephrurus_levis,,,2,3.25,20.5,,0.159
,9775,Nephrurus,levis,Nephrurus_levis,,,2,3.25,20,,0.163
,10634,Pogona,minor,Pogona_minor,,,9,12.3,49.5,115,0.248
I,11988,Pogona,minor,Pogona_minor,,,7,11.95,68.5,117,0.174
